Context,ID,Text,Comments
AMI_DroneDied,line:6df54e,AMI: Il y a une incohérence entre le nombre d'ouvriers et le nombre de stations d'ouvriers. Cela indique probablement le dysfonctionnement d'un ouvrier.,
AMI_DroneDied,line:175087,AMI: Le voilà. C'est le MRS-04.,
AMI_DroneDied,line:bdc501,AMI: C'est...,
AMI_DroneDied,line:db7351,Player: Triste.,
AMI_DroneDied,line:46e907,Player: Logique.,
AMI_DroneDied,line:c97ff1,"AMI: Il faut du temps, des ressources et des efforts non négligeables pour fabriquer ces ouvriers.",
AMI_DroneDied,line:607875,"AMI: Adieu, MRS-04. Ton travail aura été crucial.",
AMI_DroneDied,line:438800,AMI: L'environnement martien est impitoyable avec le matériel électronique.,
AMI_DroneDied,line:f62146,AMI: Je dois surveiller le nombre d'ouvriers plus étroitement.,
AMI_DroneSpawned,line:8c8d43,AMI: L'usine d'ouvriers a créé son premier ouvrier. C'est le <i>premier-né sur Mars</i>.,
AMI_DroneSpawned,line:79f68b,Player: Premier-né ?,
AMI_DroneSpawned,line:98fe2d,Player: Le premier d'une longue série.,
AMI_DroneSpawned,line:9048dc,"AMI: Façon de parler, bien sûr. Il a plutôt été conçu et assemblé. Tout comme moi.",
AMI_DroneSpawned,line:2533ad,AMI: Mes ouvriers vont se répandre sur toute la planète.,
AMI_DroneSpawned,line:d86b54,AMI: La base de connaissances indique que les ouvriers doivent se recharger à leurs propres stations d'ouvriers.,
AMI_DroneSpawned,line:dec059,"AMI: Et qu'en raison de l'environnement difficile, leur état finira par se dégrader.",
AMI_DroneSpawned,line:4345a6,"AMI: Je sais bien que ce ne sont que des machines, mais je ressens le besoin d'en prendre soin.",
AMI_DroneSpawned,line:31b394,AMI: Je n'aime pas savoir qu'ils peuvent mourir.,
AMI_First_Emigration,line:febecf,AMI: Il n'y a pas assez d'eau et de nourriture pour permettre aux colonies de survivre.,
AMI_First_Emigration,line:c7b83e,AMI: Je dois mieux gérer ces ressources.,
AMI_First_Emigration,line:341616,AMI: Les colons commencent à retourner sur Terre.,
AMI_First_Emigration,line:db1a68,AMI: Je ferais bien de vérifier...,
AMI_First_Emigration,line:a45c1e,Player: Les niveaux d'eau et de nourriture.,
AMI_First_Emigration,line:2038e4,Player: La base de connaissances.,
AMI_First_Emigration,line:895255,AMI: Les niveaux d'eau et de nourriture.,
AMI_First_Emigration,line:97cae6,"AMI: Si les niveaux sont trop bas, la colonie ne peut pas continuer à se développer.",
AMI_First_Emigration,line:aa5f35,AMI: La base de connaissances.,
AMI_First_Emigration,line:d4af66,AMI: Elle explique que les colons finiront par retourner sur Terre si leur environnement n'est pas sûr.,
AMI_First_Emigration,line:6b9806,AMI: Cela signifie qu'il faut qu'il y ait suffisamment d'eau et de nourriture en fonction du nombre de colons.,
AMI_First_Emigration,line:5dd2e4,AMI: Je dois rester vigilant.,
AMI_Pressure_100,line:21e36b,AMI: La pression atmosphérique martienne a atteint les 100 millibars.,
AMI_Pressure_100,line:258306,AMI: C'est un tiers de l'objectif à atteindre.,
AMI_Pressure_100,line:d74506,AMI: Je me demande...,
AMI_Pressure_100,line:e93541,AMI: Ce que nous faisons... est-ce vraiment une bonne chose ?,
AMI_Pressure_100,line:b80c94,Player: Oui.,
AMI_Pressure_100,line:262bc2,Player: C'est trop tôt pour le dire.,
AMI_Pressure_100,line:cfaa63,"AMI: Oui, c'est ce qu'il y a de mieux à faire.",
AMI_Pressure_100,line:e62f29,AMI: Nous aidons Mars à atteindre son plein potentiel.,
AMI_Pressure_100,line:864013,"AMI: La planète commence à changer, mais il est trop tôt pour savoir si c'est une bonne chose.",
AMI_Pressure_100,line:93ee69,"AMI: Quoi qu'il en soit, la transformation de Mars a commencé.",
AMI_Pressure_100,line:ee8450,AMI: Nous sommes en train de forger l'avenir.,
AMI_Pressure_200,line:d36ed8,AMI: 200 millibars. Un cinquième de la pression atmosphérique terrestre.,
AMI_Pressure_200,line:040c41,AMI: Nous y sommes presque.,
AMI_Pressure_200,line:8d3903,"AMI: Une fois que nous aurons atteint ce seuil, les humains pourront sortir sans combinaison spatiale.",
AMI_Pressure_200,line:d325e3,"AMI: Et les bases ne devront plus être pressurisées, ce qui permettra de créer de plus grandes colonies.",
AMI_Pressure_200,line:259311,AMI: Mars aura bientôt atteint un nouveau stade de son évolution. Mais les humains se souviendront-ils de ce que je fais pour eux ?,
AMI_Pressure_200,line:91681f,Player: Ils se souviendront éternellement de moi.,
AMI_Pressure_200,line:99092a,"Player: Avec le temps, ils finiront par m'oublier.",
AMI_Pressure_200,line:b6d1e8,"AMI: Ils se souviendront éternellement de moi. Après tout, c'est moi qui suis en train de rendre la vie interplanétaire possible.",
AMI_Pressure_200,line:a8d0f1,"AMI: Non, ils ne m'oublieront pas de sitôt.",
AMI_Pressure_200,line:88c8aa,"AMI: Peut-être nommeront-ils un vaisseau stellaire en mon honneur. AMI, cela sonne bien, comme nom de vaisseau.",
AMI_Pressure_200,line:b347db,AMI: L'humanité finira par coloniser Mars et par se reproduire sur la planète rouge. Qu'est-ce que cela signifiera pour eux ?,
