Context,ID,Text,Comments
AMI_DroneDied,line:6df54e,"AMI: Я наблюдаю расхождение между числом рабочих и числом узловых станций. Это значит, что один из роботов вышел из строя.",
AMI_DroneDied,line:175087,AMI: Вот он. Рабочий МРС-04.,
AMI_DroneDied,line:bdc501,AMI: Как...,
AMI_DroneDied,line:db7351,Player: Печально.,
AMI_DroneDied,line:46e907,Player: Предсказуемо.,
AMI_DroneDied,line:c97ff1,"AMI: Каждый такой рабочий – это затраченные на его создание время, ресурсы и усилия.",
AMI_DroneDied,line:607875,"AMI: Прощай, МРС-04. Своим трудом ты сделал Марс немного лучше.",
AMI_DroneDied,line:438800,AMI: Условия работы на Марсе сказываются на электронике.,
AMI_DroneDied,line:f62146,AMI: Мне нужно следить за численностью рабочих.,
AMI_DroneSpawned,line:8c8d43,AMI: Фабрика рабочих произвела на свет первого робота. Моего первого <i>рождённого на Марсе</i> рабочего.,
AMI_DroneSpawned,line:79f68b,Player: «Рождённого»?,
AMI_DroneSpawned,line:98fe2d,Player: Это только начало.,
AMI_DroneSpawned,line:9048dc,"AMI: Строго говоря, конечно, не рождённого – построенного, собранного. Как и я.",
AMI_DroneSpawned,line:2533ad,AMI: Мои рабочие распространятся по всему Марсу.,
AMI_DroneSpawned,line:d86b54,"AMI: В базе знаний сказано, что рабочим нужно подзаряжать свои батареи на узловых станциях.",
AMI_DroneSpawned,line:dec059,AMI: И что со временем под воздействием агрессивной окружающей среды они будут разрушаться.,
AMI_DroneSpawned,line:4345a6,"AMI: Я знаю, что они – всего лишь машины, но мне хочется о них заботиться.",
AMI_DroneSpawned,line:31b394,"AMI: Я не хочу, чтобы они умирали.",
AMI_First_Emigration,line:febecf,AMI: Колонистам не хватает воды и пищи.,
AMI_First_Emigration,line:c7b83e,AMI: Я должна внимательнее следить за производством этих ресурсов.,
AMI_First_Emigration,line:341616,AMI: Часть колонистов улетела обратно на Землю.,
AMI_First_Emigration,line:db1a68,AMI: Мне нужно проверить...,
AMI_First_Emigration,line:a45c1e,Player: Запасы воды и пищи.,
AMI_First_Emigration,line:2038e4,Player: Базу знаний.,
AMI_First_Emigration,line:895255,AMI: Дело в запасах воды и пищи.,
AMI_First_Emigration,line:97cae6,AMI: При недостаточном уровне запасов колонии не могут развиваться.,
AMI_First_Emigration,line:aa5f35,AMI: Ответ нашёлся в базе знаний.,
AMI_First_Emigration,line:d4af66,"AMI: Там сказано, что колонисты станут покидать Марс, если будут чувствовать себя недостаточно уверенно.",
AMI_First_Emigration,line:6b9806,"AMI: Это означает, что я должна поддерживать запасы воды и пищи на уровне, достаточном для текущей численности колонистов.",
AMI_First_Emigration,line:5dd2e4,AMI: Мне нужно за этим следить.,
AMI_Pressure_100,line:21e36b,AMI: Давление на Марсе достигло 100 миллиатмосфер.,
AMI_Pressure_100,line:258306,AMI: Треть искомого.,
AMI_Pressure_100,line:d74506,AMI: Я все думаю...,
AMI_Pressure_100,line:e93541,AMI: Правильно ли мы поступаем?,
AMI_Pressure_100,line:b80c94,Player: Да.,
AMI_Pressure_100,line:262bc2,Player: Пока рано судить.,
AMI_Pressure_100,line:cfaa63,"AMI: Да, мы всё делаем правильно.",
AMI_Pressure_100,line:e62f29,AMI: Мы помогаем Марсу полностью раскрыть свой потенциал.,
AMI_Pressure_100,line:864013,"AMI: Планета меняется, но судить пока ещё рано.",
AMI_Pressure_100,line:93ee69,"AMI: Так или иначе, Марс оживает.",
AMI_Pressure_100,line:ee8450,AMI: Мы творим будущее.,
AMI_Pressure_200,line:d36ed8,AMI: 200 миллиатмосфер. Одна пятая от земного значения.,
AMI_Pressure_200,line:040c41,AMI: Ещё немного.,
AMI_Pressure_200,line:8d3903,"AMI: Как только мы достигнем пограничного значения, люди смогут выходить наружу без скафандров.",
AMI_Pressure_200,line:d325e3,AMI: Базам больше не потребуется герметизация. Я смогу строить обитаемые постройки большего размера.,
AMI_Pressure_200,line:259311,"AMI: Очень скоро наступит новый этап в истории Марса. Будут ли люди вспоминать, что всё это сделала для них я?",
AMI_Pressure_200,line:91681f,Player: Они будут помнить обо мне всегда.,
AMI_Pressure_200,line:99092a,Player: Со временем они про меня забудут.,
AMI_Pressure_200,line:b6d1e8,"AMI: Они всегда будут помнить о моих усилиях. Человечество не забудет, что живёт на других планетах благодаря мне.",
AMI_Pressure_200,line:a8d0f1,"AMI: Нет, они будут помнить обо мне.",
AMI_Pressure_200,line:88c8aa,AMI: Может даже назовут в честь меня космический корабль. «ЭМИ». Хорошо звучит.,
AMI_Pressure_200,line:b347db,AMI: Люди поселятся на Марсе. Станут размножаться. Что будет означать для человечества эта новая глава?,
AMI_Pressure_200,line:7cc80a,Player: Повторение старых ошибок.,
AMI_Pressure_200,line:276671,Player: Новую надежду.,
AMI_Pressure_200,line:110a96,AMI: Они заполнят эту планету мусором. В точности как Землю.,
AMI_Pressure_200,line:f74bb4,AMI: Нет. Они не повторят своих ошибок. Я должна в это верить.,
AMI_Pressure_200,line:5eb499,AMI: Жизнь на Марсе даст человечеству новую надежду.,
AMI_Pressure_200,line:8b31f3,"AMI: Они плохо обращались с Землёй, но Марс даст им второй шанс.",
AMI_Pressure_200,line:ffe7b8,AMI: Со своим новым домом они будут обращаться лучше. Разве нет?,
AMI_Pressure_290,line:0ab7f0,AMI: 290 миллиатмосфер. Вот и всё.,
AMI_Pressure_290,line:2db2f8,Player: Отличная работа.,
AMI_Pressure_290,line:f61de0,Player: Работы ещё много.,
AMI_Pressure_290,line:f3bab7,AMI: Мы на верном пути.,
AMI_Pressure_290,line:06ae1f,AMI: Нам ещё многое предстоит сделать. Но мы продвигаемся к цели.,
AMI_Pressure_290,line:dc5c41,AMI: Люди могут ходить по Марсу без скафандров. Поразительно.,
AMI_Pressure_290,line:430197,"AMI: Надеюсь, они используют эту свободу правильно.",
AMI_Pressure_290,line:650b73,Player: С уважением.,
AMI_Pressure_290,line:dfe30f,Player: С осторожностью.,
AMI_Pressure_290,line:8f8aab,AMI: Да. Они будут с уважением относиться к планете. И к моим трудам.,
AMI_Pressure_290,line:c7a5ac,AMI: Да. На этот раз они будут осторожны.,
AMI_Pressure_290,line:923c87,"AMI: Нужно просто напоминать им, что они должны ценить свой новый дом.",
AMI_Pressure_290,line:8f3b97,AMI: В противном случае все наши труды пойдут прахом.,
AMI_ResearchStarted_AdditionalLandingSite,line:c1b132,AMI: Я смогу создавать базы по всей планете. Скорее бы уже.,
AMI_ResearchStarted_AerobrakeIceAsteroid,line:7bc9df,"AMI: Если я доставлю на Марс воду, это поможет превратить его в зелёную планету.",
AMI_ResearchStarted_AerobrakeIceAsteroid,line:0d4916,"AMI: Разумеется, я могу получить воду, растопив марсианскую вечную мерзлоту. Но аэродинамическое торможение ледяного астероида даст мне больше возможностей.",
AMI_ResearchStarted_AerobrakeIceAsteroid,line:13cf23,"AMI: И всё же мне следует действовать осторожно. Затапливая части планеты, мы можем лишить себя доступа к месторождениям ценных ресурсов или важным объектам исследования.",
AMI_ResearchStarted_AerobrakeMethaneAsteroid,line:0e74f8,AMI: Аэродинамическое торможение метанового астероида в атмосфере Марса – хороший способ обогатить её CO<sub>2</sub>.,
AMI_ResearchStarted_AerobrakeNitrogenRichAsteroid,line:77b5b1,"AMI: Это сложная задача, но результат того стоит.",
AMI_ResearchStarted_AerobrakeNitrogenRichAsteroid,line:aaafc0,"AMI: Астероиды, богатые азотом, встречаются реже. Но даже одного будет достаточно, чтобы ускорить выполнение нашей миссии.",
AMI_ResearchStarted_AssaultDroneFactory,line:bf36b2,AMI: Эта фабрика поможет мне защитить базу. Мне следует сделать это приоритетной задачей.,
AMI_ResearchStarted_AssaultDroneFactory2,line:28776a,AMI: Модернизированная фабрика поможет мне быстрее производить дроны. Нужно как можно скорее внедрить эту разработку.,
AMI_ResearchStarted_AssaultDroneFactory3,line:0bfa78,AMI: Это сверхсовременные военные технологии.,
AMI_ResearchStarted_AssaultDroneShield,line:753b31,"AMI: Технология экранирования будет автоматически развёрнута для всех моих дронов. Поразительно, как многого можно добиться простым обновлением программного обеспечения!",
AMI_ResearchStarted_AssaultDroneShield2,line:de7be9,AMI: Итоговый вариант технологии экранирования. Моим дронам это будет весьма кстати.,
AMI_ResearchStarted_AssaultDroneSpeed,line:47bca2,AMI: Это позволит моим дронам перемещаться быстрее. А значит повысит их эффективность.,
AMI_ResearchStarted_AssaultDroneSpeed2,line:871a55,AMI: Это позволит моим боевым дронам набирать максимальную скорость. Теперь ничто не уйдёт от их преследования.,
AMI_ResearchStarted_AssaultDroneWeapons,line:f05b0e,AMI: Это улучшит систему наведения всех моих дронов.,
AMI_ResearchStarted_AssaultDroneWeapons2,line:599bc6,AMI: Это усовершенствует вооружение моих дронов. Они смогут устранить любую указанную мною цель.,
AMI_ResearchStarted_BioengineeredAnimals,line:a65f8d,AMI: Генетически модифицированные животные помогут расширить экосистему Марса. Это будет важный шаг.,
AMI_ResearchStarted_BioengineeredCyanobacteria,line:0fa045,AMI: Эти цианобактерии будут размножаться в марсианских водоёмах и перерабатывать двуокись углерода в кислород.,
AMI_ResearchStarted_BioengineeredLichen,line:78e0fe,"AMI: Лишайник позволит перейти от атмосферы с остаточным содержанием кислорода к более насыщенной среде, пригодной для развитых организмов.",
AMI_ResearchStarted_BioengineeredLichen,line:44766b,AMI: С него начнётся распространение по Марсу флоры и фауны.,
AMI_ResearchStarted_BioengineeredPlants,line:5c640c,AMI: Биокуполы позволят мне начать заселять Марс растениями.,
