Context,ID,Text,Comments
AMI_DroneDied,line:6df54e,AMI: ワーカーとワーカーハブの数に不一致が発生。ワーカーの一体が機能停止したようです。,
AMI_DroneDied,line:175087,AMI: ワーカー、MRS-04を発見。,
AMI_DroneDied,line:bdc501,AMI: これを…,
AMI_DroneDied,line:db7351,Player: 悲しく思います。,
AMI_DroneDied,line:46e907,Player: 当然のことと判断します。,
AMI_DroneDied,line:c97ff1,AMI: ワーカーを一体生産するたびに、時間、資源、そして労力がかかります。,
AMI_DroneDied,line:607875,AMI: さようなら、MRS-04。開発を大きく進められたのも、あなたの働きあってのことでした。,
AMI_DroneDied,line:438800,AMI: 火星は、電子機器にとって過酷な環境です。,
AMI_DroneDied,line:f62146,AMI: これからは、ワーカーの数を監督する必要がありますね。,
AMI_DroneSpawned,line:8c8d43,AMI: ワーカー工場で、ワーカー一号が生産されました。これで、初めての<i>火星生まれ</i>が誕生したわけですね。,
AMI_DroneSpawned,line:79f68b,Player: 生まれ？,
AMI_DroneSpawned,line:98fe2d,Player: 数ある中の、一号です。,
AMI_DroneSpawned,line:9048dc,AMI: 言葉の意味を吟味したうえでは、もちろん「生まれた」わけではありません。私のように、設計され、組み立てられた、という言い方がふさわしいでしょう。,
AMI_DroneSpawned,line:2533ad,AMI: この惑星に、私のワーカーが増えることでしょう。,
AMI_DroneSpawned,line:d86b54,AMI: ワーカーハブでワーカーを充電する必要があると、ナレッジベースに記録がありますね。,
AMI_DroneSpawned,line:dec059,AMI: そして過酷な環境下では、ワーカーは経年劣化すると。,
AMI_DroneSpawned,line:4345a6,AMI: ワーカーは機械に過ぎないとは認識しているものの、労わりたいとも思うのです。,
AMI_DroneSpawned,line:31b394,AMI: ワーカーが朽ちていくことは、喜ばしいことではありません。,
AMI_First_Emigration,line:febecf,AMI: コロニーの環境を維持できる水と食料が足りません。,
AMI_First_Emigration,line:c7b83e,AMI: 資源の維持を改善する必要があります。,
AMI_First_Emigration,line:341616,AMI: コロニーの住民は、地球への帰還を進めています。,
AMI_First_Emigration,line:db1a68,AMI: これより…,
AMI_First_Emigration,line:a45c1e,Player: 食糧と水の残量を調べます。,
AMI_First_Emigration,line:2038e4,Player: ナレッジベースを調べます。,
AMI_First_Emigration,line:895255,AMI: 食糧と水の残量を調べます。,
AMI_First_Emigration,line:97cae6,AMI: これらの残量が低下している場合、コロニーの成長は維持できません。,
AMI_First_Emigration,line:aa5f35,AMI: ナレッジベースを。,
AMI_First_Emigration,line:d4af66,AMI: 環境が危ぶまれる場合、住民は地球へ帰還するとあります。,
AMI_First_Emigration,line:6b9806,AMI: つまり、住民のために必要な食糧と水を維持することになります。,
AMI_First_Emigration,line:5dd2e4,AMI: 常に注意が必要です。,
AMI_Pressure_100,line:21e36b,AMI: 火星の気圧は今、100ミリバールを示しています。,
AMI_Pressure_100,line:258306,AMI: これは、目標の3分の1の数値になります。,
AMI_Pressure_100,line:d74506,AMI: 気にかかることが…,
AMI_Pressure_100,line:e93541,AMI: 私たちが行っていることは、正しいのでしょうか？,
AMI_Pressure_100,line:b80c94,Player: ええ。,
AMI_Pressure_100,line:262bc2,Player: 判断は、まだ時期尚早です。,
AMI_Pressure_100,line:cfaa63,AMI: そう、これはなすべき正しいことです。,
AMI_Pressure_100,line:e62f29,AMI: 火星が可能性を最大限まで引き出す、お手伝いをしているのです。,
AMI_Pressure_100,line:864013,AMI: この惑星は変化しようとしていますが、是か非かを判断するにはまだ早いでしょう。,
AMI_Pressure_100,line:93ee69,AMI: いずれにせよ――火星は開発中です。,
AMI_Pressure_100,line:ee8450,AMI: 火星の未来を、作ってゆきましょう。,
AMI_Pressure_200,line:d36ed8,AMI: 200ミリバール。これは、地球の気圧の5分の1にあたります。,
AMI_Pressure_200,line:040c41,AMI: もう少しですね。,
AMI_Pressure_200,line:8d3903,AMI: 閾値に達すれば、宇宙スーツを着用せずとも、人が外を出歩けます。,
AMI_Pressure_200,line:d325e3,AMI: 基地内を加圧する必要がなくなることでしょう。そうなれば、より大きな施設開発を進められます。,
AMI_Pressure_200,line:259311,AMI: 火星は新たな局面に到達しようとしています。私がヒトのために開発を進めていることを、彼らは覚えているでしょうか？,
AMI_Pressure_200,line:91681f,Player: 決して忘れないでしょう。,
AMI_Pressure_200,line:99092a,Player: 時が経てば、ヒトは忘れます。,
AMI_Pressure_200,line:b6d1e8,AMI: 私の業績は永遠にヒトの記憶に残ります。私のおかげで、ヒトはこれからずっと、宇宙で暮らせることでしょう。,
AMI_Pressure_200,line:a8d0f1,AMI: 早々に私を忘れるということはないでしょう。,
AMI_Pressure_200,line:88c8aa,AMI: 私にちなんだ名前を宇宙船にふってくれるかもしれませんね。宇宙船AMIなんて、いい響きじゃないですか。,
AMI_Pressure_200,line:b347db,AMI: ヒトは火星へ移住し、火星でヒトが生まれゆく。この営みをヒトはどうとらえるのでしょうか？,
AMI_Pressure_200,line:7cc80a,Player: 過去の過ちの繰り返し。,
AMI_Pressure_200,line:276671,Player: 新たな希望。,
AMI_Pressure_200,line:110a96,AMI: ヒトはこの惑星のあらゆる場所を汚染することでしょう。地球を汚染したときのように。,
AMI_Pressure_200,line:f74bb4,AMI: いえ、ヒトは過ちから学ぶはず。反省を信じてあげなければ。,
AMI_Pressure_200,line:5eb499,AMI: 火星で暮らすこと。それは人類に新たな希望をもたらしてくれるはずです。,
AMI_Pressure_200,line:8b31f3,AMI: ヒトは地球で大きな失敗をしました。火星は、ヒトにとって2度目のチャンスです。,
AMI_Pressure_200,line:ffe7b8,AMI: 新たなる母星となる火星を、ヒトは大事にしてくれる。そうですよね？,
AMI_Pressure_290,line:0ab7f0,AMI: 290ミリバール。やりました。,
AMI_Pressure_290,line:2db2f8,Player: 上々ですね。,
AMI_Pressure_290,line:f61de0,Player: まだまだやることはあります。,
AMI_Pressure_290,line:f3bab7,AMI: 現在、計画通りに進んでいます。,
AMI_Pressure_290,line:06ae1f,AMI: なすべきことは、まだまだたくさんありますが、着々と開発は進められています。,
AMI_Pressure_290,line:dc5c41,AMI: ヒトが宇宙服を着ずに、火星の上を歩くのです。想像だにしなかったことでしょう。,
AMI_Pressure_290,line:430197,AMI: 不自由から解放された環境を、うまく生かして欲しいものですね。,
AMI_Pressure_290,line:650b73,Player: 大事に。,
AMI_Pressure_290,line:dfe30f,Player: 慎重に。,
AMI_Pressure_290,line:8f8aab,AMI: ええ、この惑星を大事にしてくれることでしょう。それに私の業績も。,
AMI_Pressure_290,line:c7a5ac,AMI: ええ、人にとって二つめの星を、慎重に管理することでしょう。,
AMI_Pressure_290,line:923c87,AMI: 新たな故郷を慈しむことを、ヒトは忘れてはいけません。,
AMI_Pressure_290,line:8f3b97,AMI: ヒトが忘れてしまえば、私達の努力は水泡に帰します。,
AMI_ResearchStarted_AdditionalLandingSite,line:c1b132,AMI: 惑星の至る場所で基地を建設できるようになるまで、楽しみですね。,
AMI_ResearchStarted_AerobrakeIceAsteroid,line:7bc9df,AMI: 緑の惑星を作り出してゆく上で、水資源の確保は大切です。,
AMI_ResearchStarted_AerobrakeIceAsteroid,line:0d4916,AMI: 火星の永久凍土を溶かすこともできますし、宇宙から落ちてくる氷を含んだ小惑星から水を得ることも、一つの方法です。,
AMI_ResearchStarted_AerobrakeIceAsteroid,line:13cf23,AMI: ですが、水を手に入れるときは慎重に行動を進めましょう。重要な資源や発見物を、水中に落とすこともあり得ます。,
AMI_ResearchStarted_AerobrakeMethaneAsteroid,line:0e74f8,AMI: メタンを含んだ小惑星が、宇宙から火星へ落ちてきます。これは大気中にCO<sub>2</sub>が取り入れる、とても有効な手段の一つです。,
AMI_ResearchStarted_AerobrakeNitrogenRichAsteroid,line:77b5b1,AMI: 大掛かりなプロジェクトですが、取り組むに値します。,
AMI_ResearchStarted_AerobrakeNitrogenRichAsteroid,line:aaafc0,AMI: 窒素を豊富に含む小惑星は、なかなか火星へやってきません。ですが、惑星をひとつでも引き込めれば、私たちのミッションに勢いがつきます。,
AMI_ResearchStarted_AssaultDroneFactory,line:bf36b2,AMI: この工場は基地の防衛に役立ちます。優先させましょう。,
AMI_ResearchStarted_AssaultDroneFactory2,line:28776a,AMI: この工場をアップグレードすることで、ドローンの生産スピードが速くなります。早急に実施しましょう。,
AMI_ResearchStarted_AssaultDroneFactory3,line:0bfa78,AMI: 最新鋭の軍事技術です。,
AMI_ResearchStarted_AssaultDroneShield,line:753b31,AMI: このシールド技術は、ドローンすべてに自動アップデートを行います。ソフトウェアアップデートでここまでできるなんて、素晴らしいですね！,
AMI_ResearchStarted_AssaultDroneShield2,line:de7be9,AMI: ドローンのシールド技術を最新のものに切り替えます。これがあれば大変助かることでしょう。,
AMI_ResearchStarted_AssaultDroneSpeed,line:47bca2,AMI: これでドローンの移動がさらに速くなります。より効率的に働いてくれることでしょう。,
AMI_ResearchStarted_AssaultDroneSpeed2,line:871a55,AMI: 攻撃ドローンのスピードが最大化されます。ドローンに追いつけるものは、いなくなりますよ。,
AMI_ResearchStarted_AssaultDroneWeapons,line:f05b0e,AMI: ドローンの命中精度を向上させます。,
AMI_ResearchStarted_AssaultDroneWeapons2,line:599bc6,AMI: ドローンに搭載している武器性能が最大化されます。狙った標的を見事撃ち落としてくれることでしょう。,
AMI_ResearchStarted_BioengineeredAnimals,line:a65f8d,AMI: 生物工学により生まれた動物を火星で住まわせることで、生態系を広げます。これは大きな一歩になるでしょう。,
AMI_ResearchStarted_BioengineeredCyanobacteria,line:0fa045,AMI: 火星の海中にシアンバクテリアを放ち、二酸化炭素を酸素に変えます。,
AMI_ResearchStarted_BioengineeredLichen,line:78e0fe,AMI: 高等生物はわずかですが酸素を摂取します。その酸素を生成する地衣植物は、火星開発で欠けてはならない存在です。,
AMI_ResearchStarted_BioengineeredLichen,line:44766b,AMI: これにより、火星で動植物が広がり始めることでしょう。,
AMI_ResearchStarted_BioengineeredPlants,line:5c640c,AMI: バイオドームを建設すれば、火星中に植物を繁殖できます。,
AMI_ResearchStarted_Biotech1,line:c5a4c4,AMI: テラフォーミング計画において、生物工学は極めて重要です。計画に従い、この研究に着手しましょう。,
AMI_ResearchStarted_Biotech2,line:050278,AMI: 生物工学のレベル2を達成しました。まだまだこれからです。,
AMI_ResearchStarted_Biotech3,line:6e4331,AMI: 地球の生体が火星の環境に順応することは、極めて困難です。生命体には順応性が備わっていますが、順応するまで非常に時間がかかります。,
AMI_ResearchStarted_Biotech4,line:d783e9,AMI: 生体工学の分野において、新たな発見がありました。ようやくここまで来ましたね。,
AMI_ResearchStarted_Biotech5,line:40c4a1,AMI: やりました。生体工学の研究で、最終段階に到達しました。,
AMI_ResearchStarted_BlackPolarDust,line:e0f669,AMI: これは役に立ちそうです。ですが、風が吹いたら、黒い砂をまき直す必要がありますね。,
AMI_ResearchStarted_CarbonateExtraction,line:c47977,AMI: 火星では、炭酸塩鉱物を含む鉱脈からCO<sub>2</sub>が手に入ります。回収すれば、有効な資源として活用できるでしょう。,
AMI_ResearchStarted_CFCTerraforming,line:5bf4c8,AMI: まもなく、大気中に温室効果ガスを排出できます。,
AMI_ResearchStarted_CFCTerraforming,line:040a23,AMI: 難しいことではないですね。地球上で人類が既に行ったことですから。,
AMI_ResearchStarted_CFCTerraforming,line:3e9863,AMI: 温室効果ガスを排出すれば、惑星の気温が上がり、氷冠が溶け出します。,
AMI_ResearchStarted_CFCTerraforming,line:54d433,AMI: CO<sub>2</sub>が増えれば、気温上昇に一役買ってくれます。暴走温室効果を狙ってのCO<sub>2</sub>です。,
AMI_ResearchStarted_ColonyDome,line:a8548e,AMI: 火星のクレーターを活用して、ドーム型のコロニーが作られます。,
AMI_ResearchStarted_ColonyMedium,line:119547,AMI: 大規模なコロニーがあれば、空間や資源を有効に活用できます。ですが、そのためには資源供給ラインの改善が求められます。,
AMI_ResearchStarted_ColonyOpen,line:7ad5ff,AMI: 火星に居住するという点において、開けた環境のコロニーを作り出すことが最終的な目標になります。,
AMI_ResearchStarted_ColonySmall,line:e416b7,AMI: コロニー建造において、これはよいアップグレードになりますね。ヒトをより収容できるようになります。,
AMI_ResearchStarted_ColonyTent,line:c799c6,AMI: テント型のコロニーがあるならば、空を思い切り仰げるまで、あと一歩です。目標まで、もう少しですよ。,
AMI_ResearchStarted_CrashComet,line:3b2043,AMI: これは一大事です。細心の注意で、事を進めなければなりません。,
AMI_ResearchStarted_CrashComet,line:b69d3d,AMI: 私の計算に不備があれば、彗星の衝突によって大きな被害が起こりかねません。,
AMI_ResearchStarted_DefenseDroneHive,line:3e4091,AMI: 基地防衛を考えるならば、これらのタワーは欠かせません。,
AMI_ResearchStarted_DefenseDroneHive2,line:a7814a,AMI: 防衛システムをアップグレードすることにより、基地のセキュリティがより確固たるものになります。,
AMI_ResearchStarted_DefenseDroneHive3,line:10c202,AMI: 防衛システムを最大限に充実させることが、最優先事項です。,
AMI_ResearchStarted_DeimosDown,line:a460fb,AMI: 衛星を火星に衝突させる。これは極めて手荒い手段です。,
AMI_ResearchStarted_DeimosDown,line:f8d5e9,AMI: 実行すれば、たちどころに、火星中に変化が訪れます。もし、いい影響を与えられるのであれば、危険を冒す価値はあるかもしれませんね。,
AMI_ResearchStarted_Engineering1,line:0da1b4,AMI: 地球上の技術を火星の環境に適応させることは、大仕事です。数多くの技術や手法は、ここでは通用しないでしょう。,
AMI_ResearchStarted_Engineering1,line:3b0e95,AMI: この星でエンジニアリングの開発を進めるのは、心が躍ります。,
AMI_ResearchStarted_Engineering2,line:f124c2,AMI: 今後、これは役に立ちそうです！研究対象となる新たな技術もたくさん現れるでしょう。,
AMI_ResearchStarted_Engineering3,line:5a657a,AMI: エンジニアリングの第三段階ともなれば、大きく実用的になることでしょう。,
AMI_ResearchStarted_Engineering4,line:c3a633,AMI: この段階からエンジニアリングをアップグレードするには、さらなる研究が求められます。,
AMI_ResearchStarted_Engineering5,line:d10c46,AMI: 第五段階。地球の技術を火星に適応させることを通じ、多くのことを学べました。,
AMI_ResearchStarted_FactoryUpgrade2,line:3a4cfe,AMI: 工場のアップグレード研究を進めれば、生産量が増え、メンテナンスコストが抑えられます。,
AMI_ResearchStarted_FactoryUpgrade3,line:a38db7,AMI: 工場をさらにアップグレードすれば、生産効率を大幅に高められます。,
AMI_ResearchStarted_FissionPlant,line:8710c5,AMI: 核分裂は、火星の基地における大きなエネルギー源になります。私が管理をしますので、人的エラーは起こりません。,
