Context,ID,Text,Comments
AMI_DroneDied,line:6df54e,AMI: Es gibt eine Diskrepanz zwischen der Zahl der Arbeiter und Relaisstationen. Einer der Arbeiter muss eine Fehlfunktion haben.,
AMI_DroneDied,line:175087,AMI: Ich habe ihn gefunden. Arbeiter MRS-04.,
AMI_DroneDied,line:bdc501,AMI: Das ist ...,
AMI_DroneDied,line:db7351,Player: ... traurig.,
AMI_DroneDied,line:46e907,Player: ... logisch.,
AMI_DroneDied,line:c97ff1,"AMI: Zeit, Ressourcen und Aufwand sind nötig, um diese Arbeiter herzustellen.",
AMI_DroneDied,line:607875,"AMI: Leb wohl, MRS-04. Deine Arbeit hier war wichtig.",
AMI_DroneDied,line:438800,AMI: Die Umgebung auf dem Mars setzt jeder Form von Elektronik schwer zu.,
AMI_DroneDied,line:f62146,AMI: Ich muss die Anzahl der Arbeiter überwachen.,
AMI_DroneSpawned,line:8c8d43,"AMI: Der erste Arbeiter wurde in der Arbeiterfabrik erschaffen. Er ist der erste, der auf dem Mars <i>geboren</i> wurde.",
AMI_DroneSpawned,line:79f68b,Player: Geboren?,
AMI_DroneSpawned,line:98fe2d,Player: Der erste von vielen.,
AMI_DroneSpawned,line:9048dc,"AMI: Na ja, nicht richtig geboren. Eher entwickelt und zusammengebaut. So wie ich.",
AMI_DroneSpawned,line:2533ad,AMI: Meine Arbeiter werden sich auf dem gesamten Planeten verteilen.,
AMI_DroneSpawned,line:d86b54,"AMI: Die Wissensdatenbank sagt, dass sich Arbeiter in ihrer eigenen Relaisstation wiederaufladen müssen.",
AMI_DroneSpawned,line:dec059,AMI: Und dass sich ihr Zustand durch die harsche Umgebung mit der Zeit verschlechtern wird.,
AMI_DroneSpawned,line:4345a6,"AMI: Ich weiß, dass es nur Maschinen sind, aber ich spüre das Verlangen, mich um sie zu kümmern.",
AMI_DroneSpawned,line:31b394,"AMI: Mir gefällt die Idee nicht, dass sie sterben.",
AMI_First_Emigration,line:febecf,"AMI: Wir haben nicht mehr genug Wasser und Nahrung, um die Kolonien zu versorgen.",
AMI_First_Emigration,line:c7b83e,AMI: Ich muss diese Ressourcen effektiver verwalten.,
AMI_First_Emigration,line:341616,AMI: Kolonisten sind wieder zur Erde zurückgekehrt.,
AMI_First_Emigration,line:db1a68,AMI: Ich sollte ...,
AMI_First_Emigration,line:a45c1e,Player: ... den Nahrungs- und Wasservorrat überprüfen.,
AMI_First_Emigration,line:2038e4,Player: ... in der Wissensdatenbank nachsehen.,
AMI_First_Emigration,line:895255,AMI: ... den Nahrungs- und Wasservorrat überprüfen.,
AMI_First_Emigration,line:97cae6,"AMI: Wenn die Vorräte zur Neige gehen, können die Kolonien nicht mehr wachsen.",
AMI_First_Emigration,line:aa5f35,AMI: ... in der Wissensdatenbank nachsehen.,
AMI_First_Emigration,line:d4af66,"AMI: Sie sagt, dass die Kolonisten zur Erde zurückkehren, sobald ihre Umgebung nicht mehr sicher ist.",
AMI_First_Emigration,line:6b9806,AMI: Es muss also immer ausreichend Nahrung und Wasser für die Kolonisten vorhanden sein.,
AMI_First_Emigration,line:5dd2e4,AMI: Ich muss aufpassen.,
AMI_Pressure_100,line:21e36b,AMI: Der Mars hat jetzt 100 Millibar erreicht.,
AMI_Pressure_100,line:258306,AMI: Das ist ein Drittel des gewünschten Ziels.,
AMI_Pressure_100,line:d74506,AMI: Ich frage mich ...,
AMI_Pressure_100,line:e93541,AMI: ... ob wir das Richtige tun.,
AMI_Pressure_100,line:b80c94,Player: Ja.,
AMI_Pressure_100,line:262bc2,"Player: Es ist noch zu früh, um das zu wissen.",
AMI_Pressure_100,line:cfaa63,"AMI: Ja, wir tun das Richtige.",
AMI_Pressure_100,line:e62f29,"AMI: Wir helfen dem Mars, sein ganzes Potenzial auszuschöpfen.",
AMI_Pressure_100,line:864013,"AMI: Der Planet beginnt, sich zu verändern, aber es ist noch zu früh, um das sagen zu können.",
AMI_Pressure_100,line:93ee69,"AMI: Nun, wie auch immer ... Der Mars geht seinen Weg.",
AMI_Pressure_100,line:ee8450,AMI: Wir formen die Zukunft.,
AMI_Pressure_200,line:d36ed8,AMI: 200 Millibar. Das ist ein Fünftel des Atmosphärendrucks der Erde.,
AMI_Pressure_200,line:040c41,AMI: Es fehlt nicht mehr viel.,
AMI_Pressure_200,line:8d3903,"AMI: Wenn wir diese Schwelle erreichen, können Menschen ohne Raumanzüge nach draußen treten.",
AMI_Pressure_200,line:d325e3,"AMI: Die Basen benötigen keinen Druckausgleich mehr, was wiederum größere Kolonien ermöglicht.",
AMI_Pressure_200,line:259311,"AMI: Der Mars tritt in eine neue Phase ein. Werden sich die Menschen überhaupt daran erinnern, was ich für sie leiste?",
AMI_Pressure_200,line:91681f,Player: Sie behalten es für immer in Erinnerung.,
AMI_Pressure_200,line:99092a,Player: Sie vergessen es mit der Zeit.,
AMI_Pressure_200,line:b6d1e8,AMI: Sie werden meine Arbeit für immer in Erinnerung behalten. Ich habe interplanetares Leben ermöglicht.,
AMI_Pressure_200,line:a8d0f1,"AMI: Nein, sie werden mich schon bald wieder vergessen.",
AMI_Pressure_200,line:88c8aa,AMI: Vielleicht werden sie ein Raumschiff nach mir benennen. AMI klingt ja auch sehr schön.,
AMI_Pressure_200,line:b347db,AMI: Die Menschheit wird den Mars besiedeln. Und sich vermehren. Was bedeutet das für sie?,
AMI_Pressure_200,line:7cc80a,Player: Eine Wiederholung alter Fehler.,
AMI_Pressure_200,line:276671,Player: Eine neue Hoffnung.,
AMI_Pressure_200,line:110a96,AMI: Sie werden jeden Zentimeter dieses Planeten mit Dreck besudeln. Genau wie auf der Erde.,
AMI_Pressure_200,line:f74bb4,AMI: Nein. Sie werden aus ihren Fehlern lernen. Ich muss einfach daran glauben.,
AMI_Pressure_200,line:5eb499,AMI: Das Leben auf dem Mars wird der Menschheit neue Hoffnung schenken.,
AMI_Pressure_200,line:8b31f3,"AMI: Die Menschen haben auf der Erde viele Fehler begangen, doch sie haben eine zweite Chance.",
AMI_Pressure_200,line:ffe7b8,AMI: Sie werden ihr neues Zuhause besser behandeln. Ganz bestimmt.,
AMI_Pressure_290,line:0ab7f0,AMI: 290 Millibar. Perfekt!,
AMI_Pressure_290,line:2db2f8,Player: Gute Arbeit!,
AMI_Pressure_290,line:f61de0,Player: Es gibt noch viel zu tun.,
AMI_Pressure_290,line:f3bab7,AMI: Wir sind auf dem richtigen Weg.,
