Context,ID,Text,Comments
Frontend,TXT_CargoQuantity[1],{0:0.#},
Frontend,TXT_TooFarFromBase_Content,Too Far,
Frontend,TXT_UnevenTerrain_Content,Irregular Terrain,
Frontend,TXT_Collision_Content,Too Close,
Frontend,TXT_NeedsResource_Content,Needs Resource,
Frontend,TXT_PlacementPresenter_Needs,Needs {0},
Frontend,TXT_IncompatibleResource_Content,Wrong Resource,
Frontend,TXT_BlocksResource_Content,Blocks Resource,
Frontend,TXT_NoSectorPermission_Content,Blocked Sector,
Frontend,TXT_Underwater_Content,Underwater,
Frontend,TXT_NoMaintenance_Content,No Maintenance,
Frontend,TXT_NoPower_Content,No Power,
Frontend,TXT_HyperloopClose_Content,Too Close to Another Hyperloop,
Frontend,TXT_HyperloopFar_Content,No Nearby Hyperloops,
Frontend,TXT_FloodableArea_Content,Flood Zone,
Frontend,TXT_NeedsEquatorialStrip_Content,Needs Equatorial Strip,
Frontend,TXT_NeedsSufficientPressure_Content,Needs 300 mbar Pressure,
Frontend,TXT_NeedsBreathableAtmosphere_Content,Needs Breathable Atmosphere,
Frontend,TXT_BuildingLimitReached_Content,Building Limit Reached,
Frontend,TXT_SpaceportLimitReached_Content,Spaceport Limit Reached,
Frontend,TXT_PolarAreaProhibited_Content,Unreachable Polar Zone,
Frontend,TXT_RivalAreaProhibited_Content,Hostile Base Nearby,
Frontend,TXT_InsufficientExtractionLevel_Content,Needs Higher Level Mine,
Frontend,TXT_NotEnoughValidTerrain_Content,Needs More Arable Land,
Frontend,TXT_FarmTooClose_Content,Farm Too Close,
Frontend,TXT_Pipes_PumpingWater,Pumping Water,
Frontend,TXT_Pipes_NotEnoughWater,Not enough water,
Frontend,TXT_Pipes_NoWaterSupplyLegend,No water supply,
Frontend,TXT_NeedsWaterLevelReason,Needs To Be Near Water,
Frontend,TXT_location_north,N,
Frontend,TXT_location_south,S,
Frontend,TXT_location_east,E,
Frontend,TXT_location_west,W,
Frontend,TXT_wayUpgrade_distance,Distance>>>,
Frontend,TXT_wayUpgrade_costPerDistance,Cost per distance,
Frontend,TXT_HyperloopConnection_TooClose,Too Close,
Frontend,TXT_HyperloopConnection_TooFar,Too Far,
Frontend,TXT_HyperloopConnection_NoConnections,No Connections Available,
Frontend,TXT_HyperloopConnection_AlreadyConnected,Already Connected,
Frontend,TXT_HyperloopConnection_NotBuilt,Not Built,
Frontend,TXT_HyperloopConnection_Rubble,Rubble,
Frontend,TXT_HyperloopConnection_ConnectionClick,Click To Connect,
Frontend,TXT_terraformingScreen_phaseObjective,Stage Objective,
Frontend,TXT_resarchWidget_SelectionPending,Selection Pending,
Frontend,TXT_resarchWidget_AllTechsResearched,All Techs Investigated,
Frontend,TXT_save_panel_no_directive,No Directives,
Frontend,TXT_Space_SectorPermission,Needs Authorization To Unlock,
Frontend,TXT_District_Name,{0} District,
Frontend,TXT_spaceViewController_state_NotAvailable,NOT AVAILABLE,
Frontend,TXT_spaceViewController_launches,{0}/{1} LAUNCHES,
Frontend,TXT_spaceViewController_launches2,{0}/{1} launches,
Frontend,TXT_spaceViewController_state_inProgress,IN PROGRESS,
Frontend,TXT_spaceViewController_state_ongoing,ONGOING,
Frontend,TXT_spaceViewController_state_hidden,HIDDEN,
Frontend,TXT_spaceViewController_state_available,AVAILABLE,
Frontend,TXT_spaceViewController_state_done,DONE,
Frontend,TXT_spaceViewController_state_expired,Expired,
Frontend,TXT_Units_MW_old,MW,
Frontend,TXT_Units_MW_sols_old,MW-sols,
Frontend,TXT_Units_RPs_old,RPs,
Frontend,TXT_Units_RP_old,RP,
Frontend,TXT_Units_Alt_old,alt.,
Frontend,TXT_Units_km_old,km.,
Frontend,TXT_Units_mbar_old,mbar,
Frontend,TXT_Units_Km_old,Km,
Frontend,TXT_Units_M_old,M,
Frontend,TXT_Units_meter_old,m,
Frontend,TXT_Units_MW,{0:0}<size={1}%> MW</size>,
Frontend,TXT_Units_MW_sols,{0:0.#} MW-sols,
Frontend,TXT_Units_RPs,{0:0.#} <size={1}%> RPs</size>,
Frontend,TXT_Units_RP0,{0:0} RP,
Frontend,TXT_Units_RPs0,{0:0} RPs,
Frontend,TXT_Units_RPs_ratio,{0:0}/{1:0} RPs,
Frontend,TXT_Units_km,{0:0.# km.},
Frontend,TXT_Units_mbar,{0:0.##} mbar,
