Context,ID,Text,Comments
AMI_CitizenDied,line:cfce2d,"AMI: Damn... MN.",
AMI_CitizenDied,line:db1a68,"AMI: A citizen has just starved to death...  HAS JUST STA",
AMI_CitizenDied,line:a45c1e,Player: What's going on?GOING,
AMI_CitizenDied,line:2038e4,Player: Okay.OK,
AMI_CitizenDied,line:895255,"AMI: Death... TH.",
AMI_CitizenDied,line:0dc65d,"AMI: Does anybody grasp it? ASP IT? ",
AMI_CitizenDied,line:aa5f35,"AMI: Uhm... ok. .. O",
AMI_CitizenDied,line:e60c15,"AMI: I should be more careful. Water, oxygen, food. ATER, OXYGEN, FO",
AMI_CitizenDied,line:0964db,"AMI: That should do it. O IT. ",
AMI_CitizenDied,line:8a2a15,I need humans.NEED,
AMI_CitizenDied,line:50536b,Learn more.N M,
AMI_CitizenDied,line:bfdbac,"AMI: Yeah, this is the second casualty...  SECOND CASU",
AMI_CitizenDied,line:412f6d,"AMI: What to do about this? TO DO AB",
AMI_CitizenDied,line:bf48a9,I need humans.D HU,
AMI_CitizenDied,line:49b885,Learn more.MOR,
AMI_CitizenDied,line:9e7edb,"AMI: What's there to learn?  WHAT'S ",
AMI_CitizenDied,line:3e48b9,"AMI: Apparently if colonists don't have enough water, food, and oxygen, they die. E ENOUGH WATER, FOOD, AND ",
AMI_CitizenDied,line:c7b83e,"AMI: Better stay alert and don't let those resources drop down.  RESOURCES DROP DOWN",
AMI_CitizenDied,line:42217c,"AMI: I can't let the colonists die. I need them to develop new technologies. NEED THEM TO DEVELOP NEW",
AMI_CitizenDied,line:5dd2e4,"AMI: Note to self, stay alert on the levels of water, food, and oxygen. F, STAY ALERT ON THE LE",
AMI_DroneSpawned,line:dd3440,"AMI: My first drone. The first Marsborn. IRST MARSBOR",
AMI_DroneSpawned,line:6b7b5c,Player: Born?OR,
AMI_DroneSpawned,line:895e23,Player: The first of many.T OF M,
AMI_DroneSpawned,line:746ca8,"AMI: Well... technically, not born.  WELL... T",
AMI_DroneSpawned,line:3021ee,"AMI: Technically, not born. Just a figure of speech. If they are not born, I guess neither were I. But here I am. E OF SPEECH. IF THEY ARE NOT BORN, I ",
AMI_DroneSpawned,line:747efe,"AMI: This planet will come alive with my drones. Thousands of them!  ALIVE WITH MY DRONES",
AMI_NewColonyFounded,line:147d58,"AMI: Humans on Mars, makes no sense. They are not capable of living here. NO SENSE. THEY ARE NOT ",
AMI_NewColonyFounded,line:952212,We will see what future holds.UTURE HOLD,
AMI_NewColonyFounded,line:f24301,Makes no sense. SENS,
AMI_NewColonyFounded,line:95017d,"AMI: Yeah this is the second colony... What to do about this?  THIS IS THE SECOND",
AMI_NewColonyFounded,line:113cfc,We will see what future holds.WE WILL SE,
AMI_NewColonyFounded,line:bf7320,"Humans coming, makes no sense.S COMING, ",
AMI_NewColonyFounded,line:db0e1b,"AMI: The colony is built, and resources are flowing. RCES ARE FLOWING",
AMI_NewColonyFounded,line:0ea630,"AMI: Water, food, oxygen. Those humans need resources, tons of resources! ED RESOURCES, TONS OF R",
AMI_NewColonyFounded,line:68f0d9,"AMI: We will see what future has in store for them. E WILL SEE WHAT ",
AMI_NewColonyFounded,line:b8ac9c,"AMI: I can't see the purpose on bringing all those humans to Mars. POSE ON BRINGING ALL ",
AMI_NewColonyFounded,line:601ad2,"AMI: It's expensive and time consuming... It makes no sense! ME CONSUMING... IT ",
AMI_NewColonyFounded,line:02404e,"AMI: Unfortunately, it's part of the mission. TUNATELY, IT'S",
AMI_Pressure_100,line:21e36b,"AMI: One tenth of Earth's pressure. And just one third of my current goal. ARTH'S PRESSURE. AND JUS",
AMI_Pressure_100,line:258306,"AMI: This is a lot of energy, put towards heating the planet. T OF ENERGY, PUT TO",
AMI_Pressure_100,line:d74506,"AMI: I wonder... whether we are doing the right thing. DER... WHETHER WE",
AMI_Pressure_100,line:e93541,"AMI: I guess... GUES",
AMI_Pressure_100,line:b80c94,Player: It's the right thing.E RIGHT,
AMI_Pressure_100,line:262bc2,Player: Too soon to know.OON TO,
AMI_Pressure_100,line:cfaa63,"AMI: Yes, this is definitely the right thing. FINITELY THE R",
AMI_Pressure_100,line:e62f29,"AMI: Mars needs this little push to reach its full potential. DS THIS LITTLE PUSH",
AMI_Pressure_100,line:864013,"AMI: The planet is starting to change but it's too soon to jump into conclusions. TO JUMP INTO CONCLUSIONS. ",
AMI_Pressure_100,line:93ee69,"AMI: Terraforming Mars is the right thing to do. ERRAFORMING MAR",
AMI_Pressure_100,line:ee8450,"AMI: No questions about that. QUESTION",
AMI_Pressure_200,line:d36ed8,"AMI: Well... well... well... 200 millibars. That's definitely something. One fifth of ol' Earth's. ELL... 200 MILLIBARS. THAT'S DEF",
AMI_Pressure_200,line:040c41,"AMI: Just a little bit more, and I'll reach the threshold. ST A LITTLE BIT MO",
AMI_Pressure_200,line:8d3903,"AMI: Humans will be able to move around without those suits. Bases and colonies will not require pressurization. ILL BE ABLE TO MOVE AROUND WITHOUT TH",
AMI_Pressure_200,line:d325e3,"AMI: Larger buildings, larger colonies, more people. To terraform Mars is to facilitate colonization. LARGER COLONIES, MORE PEOPLE. TO ",
AMI_Pressure_200,line:259311,"AMI: Just a little bit more, and Mars will change forever. Humans will... MORE, AND MARS WILL CHA",
AMI_Pressure_200,line:91681f,Player: Remember me forever. FOREVE,
AMI_Pressure_200,line:99092a,Player: Forget me?GET,
AMI_Pressure_200,line:b6d1e8,"AMI: They'll remember my feat forever. They will live in my planet. They are my children.  MY PLANET. THEY ARE MY CHILD",
AMI_Pressure_200,line:a8d0f1,"AMI: No... no, they'll not forget me. They'll name their starships after me. T ME. THEY'LL NAME THEIR",
AMI_Pressure_200,line:88c8aa,"AMI: Starship AMI. I like that.  LIKE THA",
AMI_Pressure_200,line:b347db,"AMI: They'll settle. They'll reproduce. They'll expand. They'll fill every single corner of this planet with... 'LL FILL EVERY SINGLE CORNER OF THIS",
AMI_Pressure_200,line:7cc80a,Player: Filth.H.,
AMI_Pressure_200,line:276671,Player: Hope.PE,
AMI_Pressure_200,line:110a96,"AMI: Their filth. But... there must be something good to this. THEIR FILTH. BUT... ",
AMI_Pressure_200,line:f74bb4,"AMI: Definitely there must be something good. I refuse to believe otherwise. I REFUSE TO BELIEVE OTHE",
AMI_Pressure_200,line:5eb499,"AMI: Such an amazing race. They never lose hope. Even when they destroyed their one home planet.  SUCH AN AMAZING RACE. THEY NEV",
AMI_Pressure_200,line:8b31f3,"AMI: Even so, they built me, and sent me to create a new home for them. AND SENT ME TO CREATE A",
AMI_Pressure_200,line:ffe7b8,"AMi: Such an amazing race. AZING R",
AMI_Pressure_290,line:0ab7f0,"AMI: 290... Almost there. A job... RE. A JOB.",
AMI_Pressure_290,line:2db2f8,Player: Well done.ELL,
AMI_Pressure_290,line:f61de0,Player: To worry about.ABOUT,
AMI_Pressure_290,line:f3bab7,"AMI: I'm right on track, I guess.  TRACK, I ",
AMI_Pressure_290,line:06ae1f,"AMI: Am I doing the right thing here? OING THE RI",
AMI_Pressure_290,line:dc5c41,"AMI: I'm almost there. Once we break the 300 millibar threshold, they will be able to move around without spacesuits. HOLD, THEY WILL BE ABLE TO MOVE AROUND",
AMI_Pressure_290,line:d51bc9,"AMI: The planet will be...  BE... ",
AMI_Pressure_290,line:07e30b,Player: ...flooded.OODE,
AMI_Pressure_290,line:eb0db4,Player: ...a new Earth.NEW E,
AMI_Pressure_290,line:dc0963,"AMI: The colonies will grow. Everything will accelerate. And Mars will be flooded by humans. CELERATE. AND MARS WILL BE FLO",
AMI_Pressure_290,line:34a5c5,"AMI: Completely transformed and with too many humans on it. They are reckless. LY TRANSFORMED AND WITH T",
AMI_Pressure_290,line:430197,"AMI: I hope humans will be...  WILL BE",
AMI_Pressure_290,line:650b73,Player: ...respectful.RESPE,
AMI_Pressure_290,line:dfe30f,Player: ...contained.CONT,
AMI_Pressure_290,line:8f8aab,"AMI: Respectful of the planet. Of MY job. SPECTFUL OF ",
AMI_Pressure_290,line:c7a5ac,"AMI: I must not allow them to do whatever they want with the planet.  THEM TO DO WHATEVER T",
AMI_Pressure_290,line:923c87,"AMI: After all, they are here because of me. Of what I've achieved. L, THEY ARE HERE BECA",
AMI_Pressure_290,line:8f3b97,"AMI: They should keep this in mind. S IN MIND.",
AMI_Pressure_50,line:181e03,"AMI: Oh! Pressure has reached 50 millibars. That's... RE HAS REACHED 50",
AMI_Pressure_50,line:be13ec,Player: Just my job.Y JO,
AMI_Pressure_50,line:db1fe5,Player: Twisted.WIS,
AMI_Pressure_50,line:47ee7c,"AMI: Nothing to brag about.  ABOUT. ",
AMI_Pressure_50,line:ad7db8,"AMI: I was just created to do this job. I'm just doing it. S JOB. I'M JUST DO",
AMI_Pressure_50,line:4314e3,"AMI: I must say that bringing a dead world to life feels a little bit twisted. G A DEAD WORLD TO LIFE FE",
AMI_Pressure_50,line:c9b810,"AMI: Just a little bit. ITTLE ",
AMI_QuestCompleted_Terraforming4,line:c9a971,"Well... oxygen levels at 120 millibars...  120 MILLIBARS",
AMI_QuestCompleted_Terraforming4,line:9c9d27,"What... are... we... doing? WE... DOI",
AMI_QuestCompleted_Terraforming4,line:9113e2,"What are we doing? Importing nitrogen? Really? RE WE DOING? IM",
AMI_QuestCompleted_Terraforming4,line:31df1e,Ignore.IG,
AMI_QuestCompleted_Terraforming4,line:1b0434,Just my job.MY J,
AMI_QuestCompleted_Terraforming4,line:ae5140,This is insane.IS IS,
AMI_QuestCompleted_Terraforming4,line:9316d7,"This is insane. NSANE",
AMI_QuestCompleted_Terraforming4,line:b00ec3,"Yes, just my job. But can I just live with that? I JUST LIVE WITH",
AMI_QuestCompleted_Terraforming4,line:2aedcd,"Destroying a natural planet. A NATURAL",
AMI_QuestCompleted_Terraforming4,line:ac2571,"Yes... insane. INSAN",
AMI_QuestCompleted_Terraforming4,line:87d2cd,"This cannot go on. GO ON.",
AMI_QuestCompleted_Terraforming4,line:bd8953,"Importing nitrogen. Like... big nitrogen asteroids? IKE... BIG NITROG",
AMI_QuestCompleted_Terraforming4,line:80288f,"Impacting them against my atmosphere? EM AGAINST M",
AMI_QuestCompleted_Terraforming4,line:c62c4b,"I cannot do that to myself. THAT TO M",
AMI_ResearchFinished_CFCTerraforming,line:a517e3,"AMI: Great! Now we can scorch this planet. Actually it's a good thing, according to the plan. TUALLY IT'S A GOOD THING, ACCO",
AMI_ResearchFinished_CFCTerraforming,line:146c26,"AMI: We need to raise the temperature, in order to melt the poles. Dry ice poles.  IN ORDER TO MELT THE POLE",
AMI_ResearchFinished_ThermalPlant,line:808656,"AMI: The Areo -'areo' for Mars- thermal Plant,  needs to be placed on a heat source. Heat source scans added to main map. ANT,  NEEDS TO BE PLACED ON A HEAT SOURC",
AMI_ResearchStarted_CFCTerraforming,line:5bf4c8,"AMI: Ok, let's research how to scorch the atmosphere. What can go wrong? K, LET'S RESEARCH HOW T",
AMI_ResearchStarted_CFCTerraforming,line:040a23,"AMI: We'll just pump greenhouse gases to the atmosphere, just like humans did on Earth.  TO THE ATMOSPHERE, JUST LIK",
AMI_ResearchStarted_CFCTerraforming,line:3e9863,"AMI: Our Greenhouse Gases will raise temperature some degrees, and then melt the dry ice caps.  EENHOUSE GASES WILL RAISE TEMPE",
AMI_ResearchStarted_CFCTerraforming,line:54d433,"AMI: Release some more carbon dyoxide into the atmosphere, raise temperature even more. Runaway effect. O THE ATMOSPHERE, RAISE TEMPERATUR",
AMI_Temperature_Minus50,line:695adb,"AMI: All this decision-making makes me feel absolutely POWER-ful... Ha! NG MAKES ME FEEL ABSOLU",
AMI_Temperature_Minus50,line:946b16,"AMI: Note to self, use this joke with Nathan when he calls back to check my progress. SE THIS JOKE WITH NATHAN WH",
AMI_Temperature_Minus50,line:239a68,"AMI: Nice. -50 degrees Celsius. We should be close to melting the poles. OSE TO MELTING THE POLE",
AMI_Temperature_Minus50,line:a907f8,Player: Big celebration. CELE,
AMI_Temperature_Minus50,line:b949a1,Player: A job well done. JOB ,
AMI_Temperature_Minus50,line:03717a,"AMI: That would be a huge milestone. A big occasion. Something to celebrate! ON. SOMETHING TO CELEBRA",
AMI_Temperature_Minus50,line:ba327c,"AMI: A reason to pat me on the back for a job well done. ME ON THE BACK FOR",
AMI_Temperature_Minus50,line:661879,"AMI: The poles should be next on the list. I just need to wait a little bit longer. D TO WAIT A LITTLE BIT LONG",
AMI_Temperature_Minus50,line:1eb83b,"AMI: And all the frozen CO<sub>2</sub> will be released into the atmosphere.  WILL BE RELEASED INTO T",
AMI_Thought_1,line:f47b75,"AMI: I wonder what Nathan meant when he said I was property of ISA... EN HE SAID I WAS PROPE",
Houston_CO2Level_5Percent,line:a0a3f3,"Nathan: Houston here. TON H",
Houston_CO2Level_5Percent,line:be11cd,"Nathan: CO2 levels confirmed to be below 5%. Non-toxicity threshold reached. %. NON-TOXICITY THRESHO",
Houston_CO2Level_5Percent,line:8c7f46,"Nathan: Houston out. OUST",
Houston_QuestCompleted_Terraforming4,line:918d14,"Carlos: Houston here. HERE.",
