Context,ID,Text,Comments
Frontend,TXT_CargoQuantity[1],{0:0.#},
Frontend,TXT_TooFarFromBase_Content,Zu weit entfernt,
Frontend,TXT_UnevenTerrain_Content,Unregelmäßiges Terrain,
Frontend,TXT_Collision_Content,Zu nah,
Frontend,TXT_NeedsResource_Content,Benötigt Ressource,
Frontend,TXT_PlacementPresenter_Needs,Benötigt {0},
Frontend,TXT_IncompatibleResource_Content,Falsche Ressource,
Frontend,TXT_BlocksResource_Content,Blockiert Ressource,
Frontend,TXT_NoSectorPermission_Content,Gesperrter Sektor,
Frontend,TXT_Underwater_Content,Unterwasser,
Frontend,TXT_NoMaintenance_Content,Keine Wartung,
Frontend,TXT_NoPower_Content,Keine Energie,
Frontend,TXT_HyperloopClose_Content,Zu nah an anderem Hyperloop,
Frontend,TXT_HyperloopFar_Content,Keine Hyperloops in der Nähe,
Frontend,TXT_FloodableArea_Content,Flutzone,
Frontend,TXT_NeedsEquatorialStrip_Content,Benötigt Äquatorstreifen,
Frontend,TXT_NeedsSufficientPressure_Content,Benötigt 300 mbar Druck,
Frontend,TXT_NeedsBreathableAtmosphere_Content,Benötigt atembare Atmosphäre,
Frontend,TXT_BuildingLimitReached_Content,Gebäude-Limit erreicht,
Frontend,TXT_SpaceportLimitReached_Content,Raumhafen-Limit erreicht,
Frontend,TXT_PolarAreaProhibited_Content,Unerreichbare Polarzone,
Frontend,TXT_RivalAreaProhibited_Content,Feindliche Basis in der Nähe,
Frontend,TXT_InsufficientExtractionLevel_Content,Benötigt eine höherstufige Mine,
Frontend,TXT_NotEnoughValidTerrain_Content,Benötigt mehr kultivierbares Land,
Frontend,TXT_FarmTooClose_Content,Farm zu nah,
Frontend,TXT_Pipes_PumpingWater,Pumpt Wasser,
Frontend,TXT_Pipes_NotEnoughWater,Nicht genug Wasser,
Frontend,TXT_Pipes_NoWaterSupplyLegend,Keine Wasserversorgung,
Frontend,TXT_NeedsWaterLevelReason,Benötigt Wasser in der Nähe,
Frontend,TXT_location_north,N,
Frontend,TXT_location_south,S,
Frontend,TXT_location_east,O,
Frontend,TXT_location_west,W,
Frontend,TXT_wayUpgrade_distance,Entfernung>>>,
Frontend,TXT_wayUpgrade_costPerDistance,Kosten pro Entfernung,
Frontend,TXT_HyperloopConnection_TooClose,Zu nah,
Frontend,TXT_HyperloopConnection_TooFar,Zu weit entfernt,
