Context,ID,Text,Comments
Backend,BE_CargoQuantity[1],{0:0.#},
Backend,BE_building_NOT_activated,<color=red>DEACTIVATED!</color>,
Backend,BE_building_NOT_powered,<color=red>OUT OF POWER!</color>,
Backend,BE_building_health[1],Health: {0:P0},
Backend,BE_building_HomeDockedDrone[1],Docked worker: {0},
Backend,BE_building_AssignedDrone_SINGULAR[1],Assigned worker: {0},
Backend,BE_building_AssignedDrone_PLURAL[1],Assigned workers:\n\tWorkers {0},
Backend,BE_building_WorkState_AwaitingConstructionMaterials,Awaiting construction materials:,
Backend,BE_building_WorkState_MaterialsLine[3], {0} {1}/{2},
Backend,BE_building_WorkState_ConstructionProgress[1],Construction progress: {0:P0},
Backend,BE_building_WorkState_AwaitingUpgradeMaterials,Awaiting upgrade materials:,
Backend,BE_building_WorkState_UpgradeProgress[1],Upgrade progress: {0:P0},
Backend,BE_building_WorkState_ScrapProgress[1],Scrap progress: {0:P0},
Backend,BE_building_WorkState_AwaitingRubbleClearOut,Awaiting rubble removal,
Backend,BE_building_hyperloop_description,Allows transport between distant points of cargo and workers.,
Backend,BE_building_hyperloop_name,Hyperloop Terminal,
Backend,BE_building_water_mine_description,"Extracts ice from underground deposits, but deep and ultra-deep deposits require improved levels of these plants.",
Backend,BE_building_water_mine_name,Ice Drilling Plant,
Backend,BE_building_water_mine_2_name,Advanced Ice Drilling Plant,
Backend,BE_building_water_mine_3_name,Superior Ice Drilling Plant,
Backend,BE_building_water_treatment_plant_description,Extracts water from bodies of water and improves its quality so that it can be distributed by the water supply network.,
Backend,BE_building_water_treatment_plant_name,Water Treatment Plant,
Backend,BE_building_aluminum_mine_description,"Extracts and refines aluminum ore, but deep and ultra-deep orebodies require improved levels of aluminum mines.",
Backend,BE_building_aluminum_mine_name,Aluminum Mine,
Backend,BE_building_aluminum_mine_2_name,Advanced Aluminum Mine,
Backend,BE_building_aluminum_mine_3_name,Superior Aluminum Mine,
Backend,BE_building_carbon_mine_description,"Extracts carbon from carbon-rich mineral deposits, but deep and ultra-deep deposits require improved levels of carbon mines.",
Backend,BE_building_carbon_mine_name,Carbon Mine,
Backend,BE_building_carbon_mine_2_name,Advanced Carbon Mine,
Backend,BE_building_carbon_mine_3_name,Superior Carbon Mine,
Backend,BE_building_chemicals_mine_description,"Extracts chemicals from mineral deposits, but deep and ultra-deep deposits require improved levels of chemical plants.",
Backend,BE_building_chemicals_mine_name,Chemical Plant,
Backend,BE_building_chemicals_mine_2_name,Advanced Chemical Plant,
Backend,BE_building_chemicals_mine_3_name,Superior Chemical Plant,
Backend,BE_building_iron_mine_description,"Extracts and refines iron ore, but deep and ultra-deep orebodies require improved levels of iron mines.",
Backend,BE_building_iron_mine_name,Iron Mine,
Backend,BE_building_iron_mine_2_name,Advanced Iron Mine,
Backend,BE_building_iron_mine_3_name,Superior Iron Mine,
Backend,BE_building_silicon_mine_description,"Extracts and refines silicon ore, but deep and ultra-deep orebodies require improved levels of silicon mines.",
Backend,BE_building_silicon_mine_name,Silicon Mine,
Backend,BE_building_silicon_mine_2_name,Advanced Silicon Mine,
Backend,BE_building_silicon_mine_3_name,Superior Silicon Mine,
Backend,BE_building_uranium_mine_description,Extracts and refines uranium ore.,
Backend,BE_building_uranium_mine_name,Uranium Mine,
Backend,BE_building_uranium_mine_2_name,Advanced Uranium Mine,
Backend,BE_building_uranium_mine_3_name,Superior Uranium Mine,
Backend,BE_building_drone_factory_description,Builds new Workers (when Worker Hubs are vacant).,
Backend,BE_building_drone_factory_name,Worker Factory,
Backend,BE_building_drone_factory_2_name,Advanced Worker Factory,
Backend,BE_building_drone_factory_3_name,Superior Worker Factory,
Backend,BE_building_electronics_factory_description,Produces the electronic components that keep workers and buildings running.,
Backend,BE_building_electronics_factory_name,Electronics Factory,
Backend,BE_building_electronics_factory_2_name,Advanced Electronics Factory,
Backend,BE_building_electronics_factory_3_name,Superior Electronics Factory,
Backend,BE_building_food_factory_description,Produces synthetic food for the colonies.,
Backend,BE_building_food_factory_name,Food Factory,
Backend,BE_building_food_factory_2_name,Advanced Food Factory,
Backend,BE_building_food_factory_3_name,Superior Food Factory,
Backend,BE_building_glass_factory_description,Creates reinforced glass from silicon.,
Backend,BE_building_glass_factory_name,Glass Kiln,
Backend,BE_building_glass_factory_2_name,Advanced Glass Kiln,
Backend,BE_building_glass_factory_3_name,Superior Glass Kiln,
Backend,BE_building_parts_factory_description,Builds mechanical parts capable of resisting extreme environmental factors.,
Backend,BE_building_parts_factory_name,Parts Factory,
Backend,BE_building_parts_factory_2_name,Advanced Parts Factory,
Backend,BE_building_parts_factory_3_name,Superior Parts Factory,
Backend,BE_building_steel_factory_description,Creates steel from carbon and iron.,
Backend,BE_building_steel_factory_name,Steel Factory,
Backend,BE_building_steel_factory_2_name,Advanced Steel Factory,
Backend,BE_building_steel_factory_3_name,Superior Steel Factory,
Backend,BE_building_fuel_factory_description,Creates fuel from chemicals.,
Backend,BE_building_fuel_factory_name,Fuel Factory,
Backend,BE_building_fuel_factory_2_name,Advanced Fuel Factory,
Backend,BE_building_fuel_factory_3_name,Superior Fuel Factory,
Backend,BE_building_polymers_factory_description,Creates polymers from chemicals and carbon.,
Backend,BE_building_polymers_factory_name,Polymers Factory,
Backend,BE_building_polymers_factory_2_name,Advanced Polymers Factory,
