Context,ID,Text,Comments
Backend,BE_CargoQuantity[1],{0:0.#},
Backend,BE_building_NOT_activated,<color=red>¡DESACTIVADO!</color>,
Backend,BE_building_NOT_powered,<color=red>¡SIN ENERGÍA!</color>,
Backend,BE_building_health[1],Integridad: {0:P0},
Backend,BE_building_HomeDockedDrone[1],Robots aparcados: {0},
Backend,BE_building_AssignedDrone_SINGULAR[1],Robot asignado: {0},
Backend,BE_building_AssignedDrone_PLURAL[1],Robots asignados:\n\tRobots {0},
Backend,BE_building_WorkState_AwaitingConstructionMaterials,Aguardando por los materiales de construcción:,
Backend,BE_building_WorkState_MaterialsLine[3], {0} {1}/{2},
Backend,BE_building_WorkState_ConstructionProgress[1],Progreso de la construcción: {0:P0},
Backend,BE_building_WorkState_AwaitingUpgradeMaterials,Aguardando por los materiales de renovación:,
Backend,BE_building_WorkState_UpgradeProgress[1],Progreso de la renovación: {0:P0},
Backend,BE_building_WorkState_ScrapProgress[1],Progreso del reciclaje: {0:P0},
Backend,BE_building_WorkState_AwaitingRubbleClearOut,Aguardando la remoción de residuos:,
Backend,BE_building_hyperloop_description,Permite el traslado entre puntos distantes de cargamento y unidades robóticas.,
Backend,BE_building_hyperloop_name,Terminal de Hiper-carretera,
Backend,BE_building_water_mine_description,"Extrae hielo de los depósitos subterráneos, aunque los depósitos profundos y ultraprofundos requieren plantas mejoradas.",
Backend,BE_building_water_mine_name,Perforadora de Hielo,
Backend,BE_building_water_mine_2_name,Perforadora Avanzada de Hielo,
Backend,BE_building_water_mine_3_name,Perforadora Superior de Hielo,
Backend,BE_building_water_treatment_plant_description,Extrae agua de los cuerpos de agua y mejora su calidad para que pueda ser distribuida por la red de suministro de agua.,
Backend,BE_building_water_treatment_plant_name,Planta Potabilizadora de Agua,
Backend,BE_building_aluminum_mine_description,"Extrae aluminio de los depósitos de este mineral, aunque las vetas profundas y ultraprofundas requieren minas mejoradas.",
Backend,BE_building_aluminum_mine_name,Mina de Aluminio,
Backend,BE_building_aluminum_mine_2_name,Mina Avanzada de Aluminio,
Backend,BE_building_aluminum_mine_3_name,Mina Superior de Aluminio,
Backend,BE_building_carbon_mine_description,"Extrae carbono de los depósitos de este mineral, aunque las vetas profundas y ultraprofundas requieren minas mejoradas.",
Backend,BE_building_carbon_mine_name,Mina de Carbono,
Backend,BE_building_carbon_mine_2_name,Mina Avanzada de Carbono,
Backend,BE_building_carbon_mine_3_name,Mina Superior de Carbono,
Backend,BE_building_chemicals_mine_description,"Extrae productos químicos de los depósitos minerales, aunque las vetas profundas y ultraprofundas requieren plantas mejoradas.",
Backend,BE_building_chemicals_mine_name,Planta de Químicos,
Backend,BE_building_chemicals_mine_2_name,Planta Avanzada de Químicos,
Backend,BE_building_chemicals_mine_3_name,Planta Superior de Químicos,
Backend,BE_building_iron_mine_description,"Extrae y refina hierro de los depósitos de este mineral, aunque las vetas profundas y ultraprofundas requieren minas mejoradas.",
Backend,BE_building_iron_mine_name,Mina de Hierro,
Backend,BE_building_iron_mine_2_name,Mina Avanzada de Hierro,
Backend,BE_building_iron_mine_3_name,Mina Superior de Hierro,
Backend,BE_building_silicon_mine_description,"Extrae y refina silicio de los depósitos de este mineral, aunque las vetas profundas y ultraprofundas requieren minas mejoradas.",
Backend,BE_building_silicon_mine_name,Mina de Silicio,
Backend,BE_building_silicon_mine_2_name,Mina Avanzada de Silicio,
Backend,BE_building_silicon_mine_3_name,Mina Superior de Silicio,
Backend,BE_building_uranium_mine_description,Extrae y refina uranio de los depósitos de este mineral.,
Backend,BE_building_uranium_mine_name,Mina de Uranio,
Backend,BE_building_uranium_mine_2_name,Mina Avanzada de Uranio,
Backend,BE_building_uranium_mine_3_name,Mina Superior de Uranio,
Backend,BE_building_drone_factory_description,"Si hay estaciones de recarga disponibles, produce unidades robóticas nuevas.",
Backend,BE_building_drone_factory_name,Fábrica de Robots,
Backend,BE_building_drone_factory_2_name,Fábrica Avanzada de Robots,
Backend,BE_building_drone_factory_3_name,Fábrica Superior de Robots,
