Context,ID,Text,Comments
AMI_CitizenDied,line:cfce2d,"Initial dialogue line. SETTING: Since AMI is an AI, they don't have a gender and they use the non-binary pronouns, the singular 'they', 'their' and 'them'. TONE: []",
AMI_CitizenDied,line:db1a68,,
AMI_CitizenDied,line:a45c1e,NOT TO BE RECORDED. Option A1,
AMI_CitizenDied,line:2038e4,NOT TO BE RECORDED. Option B1,
AMI_CitizenDied,line:895255,Dialogue continues from Option A1.,
AMI_CitizenDied,line:0dc65d,Option A1,
AMI_CitizenDied,line:aa5f35,Dialogue continues from Option B1.,
AMI_CitizenDied,line:e60c15,Options A1 and B1 can converge here.,
AMI_CitizenDied,line:0964db,,
AMI_CitizenDied,line:8a2a15,NOT TO BE RECORDED. Option A2,
AMI_CitizenDied,line:50536b,NOT TO BE RECORDED. Option B2,
AMI_CitizenDied,line:bfdbac,Options A1 and B1 can also converge here.,
AMI_CitizenDied,line:412f6d,,
AMI_CitizenDied,line:bf48a9,NOT TO BE RECORDED. Option A3,
AMI_CitizenDied,line:49b885,NOT TO BE RECORDED. Option B3,
AMI_CitizenDied,line:9e7edb,Dialogue continues from Option A2 or A3.,
AMI_CitizenDied,line:3e48b9,Option A2 or A3,
AMI_CitizenDied,line:c7b83e,Option A2 or A3,
AMI_CitizenDied,line:42217c,Dialogue continues from Option B2 or B3.,
AMI_CitizenDied,line:5dd2e4,"Final dialogue line. Options A2 and A3, and B2 and B3 converge here.",
AMI_DroneSpawned,line:dd3440,Initial dialogue line. The word contained by <i> </i> must be emphasized.,
AMI_DroneSpawned,line:6b7b5c,NOT TO BE RECORDED. Option A,
AMI_DroneSpawned,line:895e23,NOT TO BE RECORDED. Option B,
AMI_DroneSpawned,line:3021ee,Final dialogue line. Dialogue continues from Option A.,
AMI_DroneSpawned,line:747efe,Final dialogue line. Dialogue continues from Option B.,
AMI_NewColonyFounded,line:147d58,Initial dialogue line.,
AMI_NewColonyFounded,line:952212,NOT TO BE RECORDED. Option A1,
AMI_NewColonyFounded,line:f24301,NOT TO BE RECORDED. Option B1,
AMI_NewColonyFounded,line:95017d,Option B1,
AMI_NewColonyFounded,line:113cfc,NOT TO BE RECORDED. Option A2,
AMI_NewColonyFounded,line:bf7320,NOT TO BE RECORDED. Option B2,
AMI_NewColonyFounded,line:db0e1b,Dialogue continues from Option A1 or A2.,
AMI_NewColonyFounded,line:0ea630,Option A1 or A2,
AMI_NewColonyFounded,line:68f0d9,Final dialogue line. Option A2.,
AMI_NewColonyFounded,line:b8ac9c,Dialogue continues from Option B1 or B2.,
AMI_NewColonyFounded,line:601ad2,Option B1 or B2.,
AMI_NewColonyFounded,line:02404e,Final dialogue line. Option B2.,
AMI_Pressure_100,line:21e36b,Initial dialogue line.,
AMI_Pressure_100,line:258306,,
AMI_Pressure_100,line:d74506,,
AMI_Pressure_100,line:e93541,,
AMI_Pressure_100,line:b80c94,NOT TO BE RECORDED. Option A,
AMI_Pressure_100,line:262bc2,NOT TO BE RECORDED. Option B,
AMI_Pressure_100,line:cfaa63,Dialogue continues from Option A.,
AMI_Pressure_100,line:e62f29,,
AMI_Pressure_100,line:864013,Dialogue continues from Option B.,
AMI_Pressure_100,line:93ee69,,
AMI_Pressure_100,line:ee8450,Options A and B converge here. Final dialogue line.,
AMI_Pressure_200,line:d36ed8,Initial dialogue line.,
AMI_Pressure_200,line:040c41,,
AMI_Pressure_200,line:8d3903,,
AMI_Pressure_200,line:d325e3,,
AMI_Pressure_200,line:259311,,
AMI_Pressure_200,line:91681f,NOT TO BE RECORDED. Option A,
AMI_Pressure_200,line:99092a,NOT TO BE RECORDED. Option B,
AMI_Pressure_200,line:b6d1e8,Dialogue continues from Option A. The word contained by <i> </i> must be emphasized.,
AMI_Pressure_200,line:a8d0f1,Dialogue continues from Option B.,
AMI_Pressure_200,line:88c8aa,,
AMI_Pressure_200,line:b347db,Options A and B converge here.,
AMI_Pressure_200,line:7cc80a,NOT TO BE RECORDED. Option A2,
AMI_Pressure_200,line:276671,NOT TO BE RECORDED. Option B2,
AMI_Pressure_200,line:110a96,Dialogue continues from Option A2.,
AMI_Pressure_200,line:f74bb4,,
AMI_Pressure_200,line:5eb499,Dialogue continues from Option B2.,
AMI_Pressure_200,line:8b31f3,,
AMI_Pressure_200,line:ffe7b8,Options A2 and B2 converge here. Final dialogue line.,
AMI_Pressure_290,line:0ab7f0,Initial dialogue line.,
AMI_Pressure_290,line:2db2f8,NOT TO BE RECORDED. Option A1,
AMI_Pressure_290,line:f61de0,NOT TO BE RECORDED. Option B1,
AMI_Pressure_290,line:f3bab7,Dialogue continues from Option A1.,
AMI_Pressure_290,line:06ae1f,Dialogue continues from Option B1.,
AMI_Pressure_290,line:dc5c41,Options A1 and B1 converge here.,
AMI_Pressure_290,line:d51bc9,,
AMI_Pressure_290,line:07e30b,NOT TO BE RECORDED. Option A2,
AMI_Pressure_290,line:eb0db4,NOT TO BE RECORDED. Option B2,
AMI_Pressure_290,line:dc0963,Dialogue continues from Option A2.,
AMI_Pressure_290,line:34a5c5,Dialogue continues from Option B2.,
AMI_Pressure_290,line:430197,Options A2 and B2 converge here.,
AMI_Pressure_290,line:650b73,NOT TO BE RECORDED. Option A3,
AMI_Pressure_290,line:dfe30f,NOT TO BE RECORDED. Option B3,
AMI_Pressure_290,line:8f8aab,Dialogue continues from Option A3. The word contained by <i> </i> must be emphasized.,
AMI_Pressure_290,line:c7a5ac,Dialogue continues from Option B3.,
AMI_Pressure_290,line:923c87,Options A3 and B3 converge here.,
AMI_Pressure_290,line:8f3b97,Final dialogue line.,
AMI_Pressure_50,line:181e03,Initial dialogue line.,
AMI_Pressure_50,line:be13ec,NOT TO BE RECORDED. Option A,
AMI_Pressure_50,line:db1fe5,NOT TO BE RECORDED. Option B,
AMI_Pressure_50,line:47ee7c,Dialogue continues from Option A.,
AMI_Pressure_50,line:ad7db8,,
AMI_Pressure_50,line:4314e3,Dialogue continues from Option B.,
AMI_Pressure_50,line:c9b810,Final dialogue line.,
AMI_QuestCompleted_Terraforming4,line:c9a971,Initial dialogue line.,
AMI_QuestCompleted_Terraforming4,line:9c9d27,,
AMI_QuestCompleted_Terraforming4,line:9113e2,,
AMI_QuestCompleted_Terraforming4,line:1b0434,NOT TO BE RECORDED. Option A,
AMI_QuestCompleted_Terraforming4,line:ae5140,NOT TO BE RECORDED. Option B,
AMI_QuestCompleted_Terraforming4,line:b00ec3,Dialogue continues from Option A.,
AMI_QuestCompleted_Terraforming4,line:2aedcd,,
AMI_QuestCompleted_Terraforming4,line:ac2571,Dialogue continues from Option B.,
AMI_QuestCompleted_Terraforming4,line:87d2cd,,
AMI_QuestCompleted_Terraforming4,line:bd8953,,
AMI_QuestCompleted_Terraforming4,line:80288f,,
AMI_QuestCompleted_Terraforming4,line:c62c4b,Final dialogue line.,
AMI_ResearchFinished_CFCTerraforming,line:a517e3,Initial dialogue line.,
AMI_ResearchFinished_CFCTerraforming,line:146c26,,
AMI_ResearchFinished_ThermalPlant,line:808656,"Beware! The prefix is ""AREO"" (for Mars) not ""aero"".",
AMI_ResearchStarted_CFCTerraforming,line:5bf4c8,,
AMI_ResearchStarted_CFCTerraforming,line:040a23,,
AMI_ResearchStarted_CFCTerraforming,line:3e9863,,
AMI_ResearchStarted_CFCTerraforming,line:54d433,Final dialogue line.,
AMI_Temperature_Minus50,line:695adb,"Initial dialogue line. The character makes a small pause between ""power"" and ""ful"".",
AMI_Temperature_Minus50,line:946b16,,
AMI_Temperature_Minus50,line:239a68,"The - sign must be read as ""minus"".",
AMI_Temperature_Minus50,line:a907f8,NOT TO BE RECORDED. Option A,
AMI_Temperature_Minus50,line:b949a1,NOT TO BE RECORDED. Option B,
AMI_Temperature_Minus50,line:03717a,Dialogue continues from Option A.,
AMI_Temperature_Minus50,line:ba327c,Dialogue continues from Option B.,
AMI_Temperature_Minus50,line:661879,,
AMI_Temperature_Minus50,line:1eb83b,Final dialogue line. This CO<sub>2</sub> should be read as CE-OH-TWO.,
AMI_Thought_1,line:f47b75,One line dialogue. ISA stands for International Space Center.,
Houston_CO2Level_5Percent,line:a0a3f3,Initial dialogue line.,
Houston_CO2Level_5Percent,line:be11cd,This CO<sub>2</sub> should be read as CE-OH-TWO.,
Houston_CO2Level_5Percent,line:8c7f46,Final dialogue line. MCC is the abbreviation for Mission Control Center.,
Houston_QuestCompleted_Terraforming4,line:918d14,Initial dialogue line.,
Houston_QuestCompleted_Terraforming4,line:458df1,,
Houston_QuestCompleted_Terraforming4,line:d2a077,NOT TO BE RECORDED. Option A,
Houston_QuestCompleted_Terraforming4,line:a5a345,NOT TO BE RECORDED. Option B,
Houston_QuestCompleted_Terraforming4,line:adb86c,Dialogue continues from Option A.,
Houston_QuestCompleted_Terraforming4,line:379b60,,
Houston_QuestCompleted_Terraforming4,line:980752,,
Houston_QuestCompleted_Terraforming4,line:ecb363,Dialogue continues from Option B.,
Houston_QuestCompleted_Terraforming4,line:76a5ea,,
Houston_QuestCompleted_Terraforming4,line:5fb82c,,
Houston_QuestCompleted_Terraforming4,line:e8a0a8,,
Houston_QuestCompleted_Terraforming4,line:877705,This CO<sub>2</sub> should be read as CE-OH-TWO.,
Houston_QuestCompleted_Terraforming4,line:6f851f,,
Houston_QuestCompleted_Terraforming4,line:ac5100,,
Houston_QuestCompleted_Terraforming4,line:1cc49b,NOT TO BE RECORDED. Option A,
Houston_QuestCompleted_Terraforming4,line:b4eefa,NOT TO BE RECORDED. Option B,
Houston_QuestCompleted_Terraforming4,line:bf84b3,Dialogue continues from Option A.,
Houston_QuestCompleted_Terraforming4,line:b7e595,,
Houston_QuestCompleted_Terraforming4,line:ff1773,,
Houston_QuestCompleted_Terraforming4,line:c9387d,Dialogue continues from Option B.,
Houston_QuestCompleted_Terraforming4,line:0f084f,,
Houston_QuestCompleted_Terraforming4,line:45072a,,
Houston_QuestCompleted_Terraforming4,line:42a659,,
Houston_QuestCompleted_Terraforming4,line:2c710d,NOT TO BE RECORDED. Option A,
Houston_QuestCompleted_Terraforming4,line:48d2b2,NOT TO BE RECORDED. Option B,
Houston_QuestCompleted_Terraforming4,line:15beaf,Dialogue continues from Option A.,
Houston_QuestCompleted_Terraforming4,line:f7c874,,
Houston_QuestCompleted_Terraforming4,line:37096f,,
Houston_QuestCompleted_Terraforming4,line:013e68,,
Houston_QuestCompleted_Terraforming4,line:c0ba30,Dialogue continues from Option B.,
Houston_QuestCompleted_Terraforming4,line:79f810,,
Houston_QuestCompleted_Terraforming4,line:82687f,,
Houston_QuestCompleted_Terraforming4,line:8b0f7f,,
Houston_QuestCompleted_Terraforming4,line:9e6d0e,,
Houston_QuestCompleted_Terraforming4,line:1cc71c,,
Houston_QuestCompleted_Terraforming4,line:ed817b,Final dialogue line.,
Houston_QuestCompleted_Terraforming5,line:24b0d2,Initial dialogue line.,
Houston_QuestCompleted_Terraforming5,line:210c61,,
Houston_QuestCompleted_Terraforming5,line:6a935d,,
Houston_QuestCompleted_Terraforming5,line:307b3c,,
Houston_QuestCompleted_Terraforming5,line:c81c96,,
Houston_QuestCompleted_Terraforming5,line:7e0bc6,,
Houston_QuestCompleted_Terraforming5,line:ff5771,,
Houston_QuestCompleted_Terraforming5,line:44aabf,,
Houston_QuestCompleted_Terraforming5,line:b3a10b,NOT TO BE RECORDED. Option A,
Houston_QuestCompleted_Terraforming5,line:996072,NOT TO BE RECORDED. Option B,
Houston_QuestCompleted_Terraforming5,line:33a485,Dialogue continues from Option A.,
Houston_QuestCompleted_Terraforming5,line:cb7f01,,
Houston_QuestCompleted_Terraforming5,line:acf6d0,Dialogue continues from Option B.,
Houston_QuestCompleted_Terraforming5,line:ce20aa,,
Houston_QuestCompleted_Terraforming5,line:e81945,,
Houston_QuestCompleted_Terraforming5,line:1be9ad,,
Houston_QuestCompleted_Terraforming5,line:8059b7,,
Houston_QuestCompleted_Terraforming5,line:32bddd,,
Houston_QuestCompleted_Terraforming5,line:84d0c2,,
Houston_QuestCompleted_Terraforming5,line:c69bc2,Final dialogue line. MCC is the abbreviation for Mission Control Center.,
Houston_Temperature_Minus50,line:63361f,Initial dialogue line.,
Houston_Temperature_Minus50,line:55edd6,NOT TO BE RECORDED. Option A,
Houston_Temperature_Minus50,line:10522c,NOT TO BE RECORDED. Option B,
Houston_Temperature_Minus50,line:baae32,Dialogue continues from Option A.,
Houston_Temperature_Minus50,line:4afb80,,
Houston_Temperature_Minus50,line:a3fc5e,,
Houston_Temperature_Minus50,line:a2ea1e,MCC is the abbreviation for Mission Control Center.,
Houston_Temperature_Minus50,line:301b27,Dialogue continues from Option B.,
Houston_Temperature_Minus50,line:40412d,,
Houston_Temperature_Minus50,line:efee1f,Final dialogue line. MCC is the abbreviation for Mission Control Center.,
AMI_QuestCompleted_Drones,line:ac2b9f,"Initial dialogue line. SETTING: the AI has completed the construction of the first drone factory. The colonists haven't arrived yet, so the AI's drones, at the moment, are the only crowd on the planet. Since AMI is an AI, they don't have a gender and they use the singular 'they', 'their' and 'them'.",
AMI_QuestCompleted_Drones,line:ced7c9,NOT TO BE RECORDED. Option A1,
AMI_QuestCompleted_Drones,line:2324a4,NOT TO BE RECORDED. Option B1,
AMI_QuestCompleted_Drones,line:3e8b48,Dialogue continues from Option A1. The words contained by these symbols << >> must not be recorded.,
AMI_QuestCompleted_Drones,line:90dc3a,Dialogue continues from Option B1. The words contained by these symbols << >> must not be recorded.,
AMI_QuestCompleted_Drones,line:f659dd,Options A1 and B1 converge here.,
AMI_QuestCompleted_Drones,line:a84512,,
AMI_QuestCompleted_Drones,line:70e41c,NOT TO BE RECORDED. Option A2,
AMI_QuestCompleted_Drones,line:0268a4,NOT TO BE RECORDED. Option B2,
AMI_QuestCompleted_Drones,line:807326,NOT TO BE RECORDED. Option C2,
AMI_QuestCompleted_Drones,line:2d8801,Dialogue continues from Option A2. The words contained by these symbols << >> must not be recorded.,
AMI_QuestCompleted_Drones,line:d56036,Dialogue continues from Option B2. The words contained by these symbols << >> must not be recorded.,
AMI_QuestCompleted_Drones,line:0a3a3d,Dialogue continues from Option C2. The words contained by these symbols << >> must not be recorded. The word contained by <i> </i> must be emphasized.,
AMI_QuestCompleted_Drones,line:d0fb8d,"Options A2, B2 and C2 converge here.",
AMI_QuestCompleted_Drones,line:881283,Final dialogue line.,
AMI_QuestCompleted_Industry,line:10f346,Initial dialogue line. SETTING: the AI uses the planet's natural resources to build up the future colonies and to change the Martian atmosphere. The chance to find more resource veins is important to the completion of AMI's main goal.,
AMI_QuestCompleted_Industry,line:5f9b7c,"Beware! The prefix is ""AREO"" (for Mars) not ""aero"".",
AMI_QuestCompleted_Industry,line:740d28,,
AMI_QuestCompleted_Industry,line:63e968,NOT TO BE RECORDED. Option A,
AMI_QuestCompleted_Industry,line:e2324f,NOT TO BE RECORDED. Option B,
AMI_QuestCompleted_Industry,line:b1c5de,Final dialogue line. Dialogue continues from Option A. The words contained by these symbols << >> must not be recorded.,
AMI_QuestCompleted_Industry,line:4e50ec,Final dialogue line. Dialogue continues from Option B. The words contained by these symbols << >> must not be recorded.,
AMI_Welcome,line:19e047,"Initial dialogue line. SETTING: this is the first internal dialogue the character has in the game. AMI is orbiting Mars, and they can see the entire planet from their space view. In this dialogue, AMI is impressed by the beauty of Mars.",
AMI_Welcome,line:676ace,,
AMI_Welcome,line:75a024,NOT TO BE RECORDED. Option A,
AMI_Welcome,line:1b9633,NOT TO BE RECORDED. Option B,
AMI_Welcome,line:996665,Dialogue continues from Option A. The words contained by these symbols << >> must not be recorded.,
AMI_Welcome,line:827c84,The word contained by <i> </i> must be emphasized.,
AMI_Welcome,line:cfe946,Dialogue continues from Option B. The words contained by these symbols << >> must not be recorded.,
AMI_Welcome,line:a1f269,,
AMI_Welcome,line:570ccd,,
AMI_Welcome,line:8ed4b1,Final dialogue line. The words in parentheses must not be recorded.,
Nathan_Intro,line:7ea7ee,"Initial dialogue line. AMI is pronounced as Amy. SETTING: this is the first dialogue of the game. Nathan welcomes AMI to the mission. AMI has been travelling from Earth to the Red Planet, and has finally arrived to their orbital position around Mars. Nathan briefly explains AMI's main mission and goal.",
Nathan_Intro,line:0ca02c,NOT TO BE RECORDED. Option A,
Nathan_Intro,line:b664e7,NOT TO BE RECORDED. Option B,
Nathan_Intro,line:bf3d39,Dialogue continues from Option A. The words contained by these symbols << >> must not be recorded.,
Nathan_Intro,line:ba5009,Option A.,
Nathan_Intro,line:0906da,Option A.,
Nathan_Intro,line:cc4857,Option A.,
Nathan_Intro,line:362528,Dialogue continues from Option B. The words contained by these symbols << >> must not be recorded.,
Nathan_Intro,line:692e62,Option B.,
Nathan_Intro,line:5ec2b6,Option B.,
Nathan_Intro,line:7b12b1,Option B.,
Nathan_Intro,line:d3bf54,Option B.,
Nathan_Intro,line:1eb97b,Options A and B converge here.,
Nathan_Intro,line:fc5072,Final dialogue line.,
Nathan_QuestCompleted_Scanner,line:e36f95,"Initial dialogue line. SETTING: Nathan explains AMI what needs to be done to be able to receive the first human crews. Besides, he explains to the AI that in order to develop new technologies, AMI will have to deal with the colonists. So, it will be important to create a strong bond with them, specially with their leader, Elya Valentine.",
Nathan_QuestCompleted_Scanner,line:b1d58b,,
Nathan_QuestCompleted_Scanner,line:f729ab,,
Nathan_QuestCompleted_Scanner,line:62e440,NOT TO BE RECORDED. Option A1,
Nathan_QuestCompleted_Scanner,line:db39ac,NOT TO BE RECORDED. Option B1,
Nathan_QuestCompleted_Scanner,line:8f9130,Dialogue continues from Option A1.,
Nathan_QuestCompleted_Scanner,line:c8a768,Option A1.,
Nathan_QuestCompleted_Scanner,line:ca57e6,Option A1.,
Nathan_QuestCompleted_Scanner,line:7b4ff7,Dialogue continues from Option B1.,
Nathan_QuestCompleted_Scanner,line:2eb0ba,Option B1.,
Nathan_QuestCompleted_Scanner,line:4c51b9,Option B1.,
Nathan_QuestCompleted_Scanner,line:a605dc,ISA stands for International Space Center.,
Nathan_QuestCompleted_Scanner,line:41db55,Options A1 and B1 converge here.,
Nathan_QuestCompleted_Scanner,line:ebfa1d,,
Nathan_QuestCompleted_Scanner,line:b02525,ISA stands for International Space Center.,
Nathan_QuestCompleted_Scanner,line:66ab88,,
Nathan_QuestCompleted_Scanner,line:d491e0,NOT TO BE RECORDED. Option A2,
Nathan_QuestCompleted_Scanner,line:d1110d,NOT TO BE RECORDED. Option B2,
Nathan_QuestCompleted_Scanner,line:c73db0,Dialogue continues from Option A2.,
Nathan_QuestCompleted_Scanner,line:65819a,Option A2.,
Nathan_QuestCompleted_Scanner,line:0caa2c,Dialogue continues from Option B2.,
Nathan_QuestCompleted_Scanner,line:b1092f,Option B2.,
Nathan_QuestCompleted_Scanner,line:243abb,Options A2 and B2 converge here.,
Nathan_QuestCompleted_Scanner,line:cd06b2,,
Nathan_QuestCompleted_Scanner,line:8ade82,NOT TO BE RECORDED. Option A3,
Nathan_QuestCompleted_Scanner,line:0e0ccd,NOT TO BE RECORDED. Option B3,
Nathan_QuestCompleted_Scanner,line:9761ea,Dialogue continues from Option A3.,
Nathan_QuestCompleted_Scanner,line:d13b28,Option A3. ISA stands for International Space Center.,
Nathan_QuestCompleted_Scanner,line:fe7acb,Option A3.,
Nathan_QuestCompleted_Scanner,line:719226,Option A3. ISA stands for International Space Center.,
Nathan_QuestCompleted_Scanner,line:ca444b,Option A3.,
Nathan_QuestCompleted_Scanner,line:591680,Final dialogue line for Option A3. MCC is the abbreviation for Mission Control Center and should be read as 'EM-CE-CE'.,
Nathan_QuestCompleted_Scanner,line:9c063b,Dialogue continues from Option B3.,
Nathan_QuestCompleted_Scanner,line:22f772,Option B3.,
Nathan_QuestCompleted_Scanner,line:168682,Option B3. ISA stands for International Space Center.,
Nathan_QuestCompleted_Scanner,line:dee7bb,Option B3.,
Nathan_QuestCompleted_Scanner,line:3cd14c,Option B3.,
Nathan_QuestCompleted_Scanner,line:4f8f3e,Final dialogue line for Option B3. MCC is the abbreviation for Mission Control Center and should be read as 'EM-CE-CE'.,
Nathan_Welcome,line:ec5c97,"Initial dialogue line. SETTING: this is AMI and Nathan's second dialogue. The AI has been building some of the initial buildings and everything seem to be going according to plan. Since AMI is an AI, they don't have a gender and they use the singular 'they', 'their' and 'them'.",
Nathan_Welcome,line:a53331,,
Nathan_Welcome,line:08e066,,
Nathan_Welcome,line:9c4824,,
Nathan_Welcome,line:c2da34,,
Nathan_Welcome,line:1a9f41,NOT TO BE RECORDED. Option A1,
Nathan_Welcome,line:99c8fa,NOT TO BE RECORDED. Option B1,
