Context,ID,Text,Comments
Frontend,TXT_CargoQuantity[1],{0:0.#},
Frontend,TXT_TooFarFromBase_Content,Muito longe,
Frontend,TXT_UnevenTerrain_Content,Terreno irregular,
Frontend,TXT_Collision_Content,Muito perto,
Frontend,TXT_NeedsResource_Content,Requer recurso,
Frontend,TXT_PlacementPresenter_Needs,Requer {0},
Frontend,TXT_IncompatibleResource_Content,Recurso errado,
Frontend,TXT_BlocksResource_Content,Bloqueia recurso,
Frontend,TXT_NoSectorPermission_Content,Setor bloqueado,
Frontend,TXT_Underwater_Content,Debaixo d'água,
Frontend,TXT_NoMaintenance_Content,Sem manutenção,
Frontend,TXT_NoPower_Content,Sem energia,
Frontend,TXT_HyperloopClose_Content,Muito perto de outro hyperloop,
Frontend,TXT_HyperloopFar_Content,Sem hyperloops próximos,
Frontend,TXT_FloodableArea_Content,Área inundável,
Frontend,TXT_NeedsEquatorialStrip_Content,Requer faixa equatorial,
Frontend,TXT_NeedsSufficientPressure_Content,Requer pressão de 300 mbar,
Frontend,TXT_NeedsBreathableAtmosphere_Content,Requer atmosfera respirável,
Frontend,TXT_BuildingLimitReached_Content,Limite de estruturas atingido,
Frontend,TXT_SpaceportLimitReached_Content,Limite de espaçoportos atingido,
Frontend,TXT_PolarAreaProhibited_Content,Zona polar inalcançável,
Frontend,TXT_RivalAreaProhibited_Content,Base hostil próxima,
Frontend,TXT_InsufficientExtractionLevel_Content,Requer mina de nível mais alto,
Frontend,TXT_NotEnoughValidTerrain_Content,Requer mais terra arável,
Frontend,TXT_FarmTooClose_Content,Fazenda próxima demais,
Frontend,TXT_Pipes_PumpingWater,Bombeando água,
Frontend,TXT_Pipes_NotEnoughWater,Água insuficiente,
Frontend,TXT_Pipes_NoWaterSupplyLegend,Sem fornecimento de água,
Frontend,TXT_NeedsWaterLevelReason,Precisa estar perto da água,
Frontend,TXT_location_north,N,
Frontend,TXT_location_south,S,
Frontend,TXT_location_east,L,
Frontend,TXT_location_west,O,
Frontend,TXT_wayUpgrade_distance,Distância>>>,
Frontend,TXT_wayUpgrade_costPerDistance,Custo por distância,
Frontend,TXT_HyperloopConnection_TooClose,Muito perto,
Frontend,TXT_HyperloopConnection_TooFar,Muito longe,
Frontend,TXT_HyperloopConnection_NoConnections,Sem conexões disponíveis,
Frontend,TXT_HyperloopConnection_AlreadyConnected,Conexão estabelecida,
Frontend,TXT_HyperloopConnection_NotBuilt,Não construído,
Frontend,TXT_HyperloopConnection_Rubble,Entulho,
Frontend,TXT_HyperloopConnection_ConnectionClick,Clique para conectar,
Frontend,TXT_terraformingScreen_phaseObjective,Objetivo da fase,
Frontend,TXT_resarchWidget_SelectionPending,Seleção pendente,
Frontend,TXT_resarchWidget_AllTechsResearched,Todas as tecnologias investigadas,
Frontend,TXT_save_panel_no_directive,Sem diretrizes,
Frontend,TXT_Space_SectorPermission,Requer autorização para desbloquear,
Frontend,TXT_District_Name,Distrito de {0},
Frontend,TXT_spaceViewController_state_NotAvailable,INDISPONÍVEL,
Frontend,TXT_spaceViewController_launches,{0}/{1} LANÇAMENTOS,
Frontend,TXT_spaceViewController_launches2,{0}/{1} lançamentos,
Frontend,TXT_spaceViewController_state_inProgress,EM ANDAMENTO,
Frontend,TXT_spaceViewController_state_ongoing,EM CURSO,
Frontend,TXT_spaceViewController_state_hidden,OCULTO,
Frontend,TXT_spaceViewController_state_available,DISPONÍVEL,
Frontend,TXT_spaceViewController_state_done,FEITO,
Frontend,TXT_spaceViewController_state_expired,Expirou,
Frontend,TXT_Units_MW_old,MW,
Frontend,TXT_Units_MW_sols_old,MW-sols,
Frontend,TXT_Units_RPs_old,PP,
Frontend,TXT_Units_RP_old,PP,
Frontend,TXT_Units_Alt_old,alt.,
Frontend,TXT_Units_km_old,km.,
Frontend,TXT_Units_mbar_old,mbar,
Frontend,TXT_Units_Km_old,Km,
Frontend,TXT_Units_M_old,M,
Frontend,TXT_Units_meter_old,m,
Frontend,TXT_Units_MW,{0:0}<size={1}%> MW</size>,
Frontend,TXT_Units_MW_sols,{0:0.#} MW-sols,
Frontend,TXT_Units_RPs,{0:0.#} <size={1}%> PP</size>,
Frontend,TXT_Units_RP0,{0:0} PP,
Frontend,TXT_Units_RPs0,{0:0} PP,
Frontend,TXT_Units_RPs_ratio,{0:0}/{1:0} PP,
Frontend,TXT_Units_km,{0:0.# km.},
Frontend,TXT_Units_mbar,{0:0.##} mbar,
Frontend,TXT_Units_mbar_long,{0:0.#####} mbar,
Frontend,TXT_Units_mbar_percent,{0:0.##} mbar ({1}),
Frontend,TXT_Units_mbar_short,{0:0.#} mbar,
Frontend,TXT_Units_mbar_small,{0:0} mbar,
Frontend,TXT_Units_microbar_long,{0:0.#####} <i>u</i>bar,
Frontend,TXT_Units_tempC,{0:0.##} °C,
Frontend,TXT_Units_tempC_percent,{0:0.##} °C ({1}),
Frontend,TXT_Units_tempC_short,{0:0.#}°C,
Frontend,TXT_Units_tempC_small,{0:0}°C,
Frontend,TXT_Units_Km,{0:#} Km,
Frontend,TXT_Units_months_short,{0:0} M,
Frontend,TXT_Units_meters_short,{0:0} m,
Frontend,TXT_Units_ML,{0:0}<size={1}%> ml</size>,
Frontend,TXT_Units_ML2,{0:0}/{1:0}<size={2}%> ml</size>,
Frontend,TXT_spaceViewController_singleLaunch,{0} LANÇAMENTO,
Frontend,TXT_Percentages,{0}/{1}%,
Frontend,TXT_NoPipes_Content,Requer rede de abastecimento de água,
Frontend,TXT_PercentagesMin,{0}%<br><size=70%>(min {1}%)</size>,
Frontend,TXT_Units_mbar_year,{0:0.0#} mbar/ano,
Frontend,TXT_Units_mbar_year_percent,{0:0.##} mbar/ano ({1}),
Frontend,TXT_Units_hour_minute_second,{0}:{1}:{2},
Frontend,TXT_Units_MW_years,{0:0.#} MW-anos,
Frontend,TXT_wayUpgrade_maximumLevelReached,Totalmente aprimorado,
Frontend,TXT_NeedsOceanReason,Requer um corpo d'água,
Frontend,TXT_UnderRiver,Em um rio,
Frontend,TXT_NeedsAquaticPlacement,Requer estruturas aquáticas,
Frontend,TXT_Generic_With_Parenthesis,{0} ({1}),
Frontend,TXT_DialoguePanel_Introspection_Thread,TÓPICO INTROSPECTIVO,
Frontend,TXT_DialoguePanel_reflection,REFLEXÃO,
Frontend,TXT_DialoguePanel_Incoming_Call,RECEBENDO CHAMADA,
Frontend,TXT_DialoguePanel_Data_Received,Dados recebidos: {0}-{1},
Frontend,TXT_DialoguePanel_Communication_Module,MÓDULO DE COMUNICAÇÃO,
Frontend,TXT_DialoguePanel_Communication_Module_short,MÓD. DE COM.,
Frontend,TXT_DialoguePanel_Answer_Timeout,Tempo limite da resposta,
Frontend,TXT_DialoguePanel_Decision_Timeout,Tempo limite da decisão,
Frontend,TXT_DialoguePanel_Response_Module,Módulo de resposta,
Frontend,TXT_DialoguePanel_Cognitive_Test_Module,Módulo de teste cognitivo,
Frontend,TXT_DialoguePanel_Cognitive_Test,Teste cognitivo,
Frontend,TXT_DialoguePanel_Enable_Safe_Mode,Ativar modo seguro,
Frontend,TXT_DialoguePanel_Cognitive_Test_Subject,ISA-ROBO-AMI-02,
Frontend,TXT_DialoguePanel_Certified_By,Certificado por,
Frontend,TXT_DialoguePanel_Panel_Pages,{0}/{1},
Frontend,TXT_DialoguePanel_Person_Location,Localização de indivíduo,
Frontend,TXT_DialoguePanel_Killswitch_Warning,Aviso,
