ID,Context,Source,comments,DE,ES,FR,garbled,JA,lengthened,PT,RU,ZH-Hans
TXT_CargoQuantity[1],Frontend,{0:0.#},,{0:0.#},{0:0.#},{0:0.#},,{0:0.#},,{0:0.#},{0:0.#},{0:0.#}
TXT_TooFarFromBase_Content,Frontend,Too Far,,Zu weit entfernt,Muy Lejos,Trop éloigné,,距離が遠すぎます,,Muito longe,Слишком далеко,距离太远
TXT_UnevenTerrain_Content,Frontend,Irregular Terrain,,Unregelmäßiges Terrain,Terreno Irregular,Terrain irrégulier,,平坦な地形ではありません,,Terreno irregular,Пересечённая местность,地面高低不平
TXT_Collision_Content,Frontend,Too Close,,Zu nah,Muy Cerca,Trop proche,,距離が近すぎます,,Muito perto,Слишком близко,距离太近
TXT_NeedsResource_Content,Frontend,Needs Resource,,Benötigt Ressource,Necesita Recursos,Nécessite des ressources,,資源が必要です,,Requer recurso,Требуется ресурс,需要资源
TXT_PlacementPresenter_Needs,Frontend,Requires {0},,Erfordert {0},Necesita {0},Nécessite : {0},,{0}が必要,,Requer {0},Требуется: {0},需要{0}
TXT_IncompatibleResource_Content,Frontend,Wrong Resource,,Falsche Ressource,Recurso Erróneo,Mauvaises ressources,,資源が違います,,Recurso errado,Не тот ресурс,资源错误
TXT_BlocksResource_Content,Frontend,Blocks Resource,,Blockiert Ressource,Bloquea un Recurso,Bloque les ressources,,資源がブロックされています,,Bloqueia recurso,Блокирует ресурс,妨碍资源开采
TXT_NoSectorPermission_Content,Frontend,Blocked Sector,,Gesperrter Sektor,Sector Bloqueado,Secteur bloqué,,閉鎖されたセクターです,,Setor bloqueado,Сектор закрыт,没有权限
TXT_Underwater_Content,Frontend,Underwater,,Unterwasser,Sumergido,Sous l'eau,,水の中です,,Debaixo d'água,Под водой,水下
TXT_NoMaintenance_Content,Frontend,No Maintenance,,Keine Wartung,Sin Mantenimiento,Pas de maintenance,,メンテナンスがされていません,,Sem manutenção,Не будет ремонтироваться,没有维保
TXT_NoPower_Content,Frontend,No Power,,Keine Energie,Sin Energía,Pas de puissance,,電力がありません,,Sem energia,Не будет электроэнергии,没有能量
TXT_HyperloopClose_Content,Frontend,Too Close to Another Hyperloop,,Zu nah an anderem Hyperloop,Muy Cerca De Otra Terminal,Trop proche d'un autre hyperloop,,ハイパーループとの距離が近すぎます,,Muito perto de outro hyperloop,Слишком близко от другой гиперцепи,距离另一超级回路太近
TXT_HyperloopFar_Content,Frontend,No Nearby Hyperloops,,Keine Hyperloops in der Nähe,No Hay Terminales Cerca,Pas d'hyperloop proche,,付近にハイパーループがありません,,Sem hyperloops próximos,Рядом нет станций,附近没有超级回路
TXT_FloodableArea_Content,Frontend,Flood Zone,,Flutzone,Terreno Anegadizo,Zone inondable,,洪水が発生した地域です,,Área inundável,Зона затопления,洪泛区
TXT_NeedsEquatorialStrip_Content,Frontend,Needs Equatorial Strip,,Benötigt Äquatorstreifen,Requiere Ubicarse en la Franja Ecuatorial,Doit se trouver sur la zone équatoriale,,赤道上の経路が必要です,,Requer faixa equatorial,Далеко от экватора,需要形成赤道带
TXT_NeedsSufficientPressure_Content,Frontend,Needs 300 mbar Pressure,,Benötigt 300 mbar Druck,Requiere 300 mbar de Presión,Requiert une pression de 300 millibars,,300ミリバールの気圧が必要です,,Requer pressão de 300 mbar,Требуется давление в 300 атм.,需要气压达到300毫巴
