Context,ID,Text,Comments
Frontend,TXT_CargoQuantity[1],{0:0.#},
Frontend,TXT_TooFarFromBase_Content,距离太远,
Frontend,TXT_UnevenTerrain_Content,地面高低不平,
Frontend,TXT_Collision_Content,距离太近,
Frontend,TXT_NeedsResource_Content,需要资源,
Frontend,TXT_PlacementPresenter_Needs,需要{0},
Frontend,TXT_IncompatibleResource_Content,资源错误,
Frontend,TXT_BlocksResource_Content,妨碍资源开采,
Frontend,TXT_NoSectorPermission_Content,没有权限,
Frontend,TXT_Underwater_Content,水下,
Frontend,TXT_NoMaintenance_Content,没有维保,
Frontend,TXT_NoPower_Content,没有能量,
Frontend,TXT_HyperloopClose_Content,距离另一超级回路太近,
Frontend,TXT_HyperloopFar_Content,附近没有超级回路,
Frontend,TXT_FloodableArea_Content,洪泛区,
Frontend,TXT_NeedsEquatorialStrip_Content,需要形成赤道带,
Frontend,TXT_NeedsSufficientPressure_Content,需要气压达到300毫巴,
Frontend,TXT_NeedsBreathableAtmosphere_Content,需要大气达到适宜呼吸的状态,
Frontend,TXT_BuildingLimitReached_Content,建筑数量达到上限,
Frontend,TXT_SpaceportLimitReached_Content,航天中心数量达到上限,
Frontend,TXT_PolarAreaProhibited_Content,基地区域无法进入,
Frontend,TXT_RivalAreaProhibited_Content,附近存在敌对基地,
Frontend,TXT_InsufficientExtractionLevel_Content,需要更高等级的矿场,
Frontend,TXT_NotEnoughValidTerrain_Content,需要更多可耕地,
Frontend,TXT_FarmTooClose_Content,农场距离太近,
Frontend,TXT_Pipes_PumpingWater,正在泵水,
Frontend,TXT_Pipes_NotEnoughWater,供水不足,
Frontend,TXT_Pipes_NoWaterSupplyLegend,没有供水,
Frontend,TXT_NeedsWaterLevelReason,需要靠近水源,
Frontend,TXT_location_north,北,
Frontend,TXT_location_south,南,
Frontend,TXT_location_east,东,
Frontend,TXT_location_west,西,
Frontend,TXT_wayUpgrade_distance,距离>>>,
Frontend,TXT_wayUpgrade_costPerDistance,单位距离的成本,
Frontend,TXT_HyperloopConnection_TooClose,距离太近,
Frontend,TXT_HyperloopConnection_TooFar,距离太远,
Frontend,TXT_HyperloopConnection_NoConnections,目前没有连接,
Frontend,TXT_HyperloopConnection_AlreadyConnected,已经连接,
Frontend,TXT_HyperloopConnection_NotBuilt,尚未建造,
Frontend,TXT_HyperloopConnection_Rubble,建筑废料,
Frontend,TXT_HyperloopConnection_ConnectionClick,点击连接,
Frontend,TXT_terraformingScreen_phaseObjective,阶段目标,
Frontend,TXT_resarchWidget_SelectionPending,等待选择,
Frontend,TXT_resarchWidget_AllTechsResearched,所有科技研究完毕,
Frontend,TXT_save_panel_no_directive,没有指示,
Frontend,TXT_Space_SectorPermission,解锁需要授权,
Frontend,TXT_District_Name,第{0}区,
Frontend,TXT_spaceViewController_state_NotAvailable,暂不可用,
Frontend,TXT_spaceViewController_launches,{0}/{1}次发射,
Frontend,TXT_spaceViewController_launches2,{0}/{1}次发射,
Frontend,TXT_spaceViewController_state_inProgress,正在进行,
Frontend,TXT_spaceViewController_state_ongoing,长期,
Frontend,TXT_spaceViewController_state_hidden,隐藏,
Frontend,TXT_spaceViewController_state_available,可以启动,
Frontend,TXT_spaceViewController_state_done,完成,
Frontend,TXT_spaceViewController_state_expired,过期,
Frontend,TXT_Units_MW_old,兆瓦,
Frontend,TXT_Units_MW_sols_old,兆瓦日,
Frontend,TXT_Units_RPs_old,科研点数,
Frontend,TXT_Units_RP_old,科研点数,
Frontend,TXT_Units_Alt_old,海拔：,
Frontend,TXT_Units_km_old,千米,
Frontend,TXT_Units_mbar_old,毫巴,
Frontend,TXT_Units_Km_old,千米,
