Context,ID,Text,Comments
Backend,BE_CargoQuantity[1],{0:0.#},
Backend,BE_resource_aluminum,Aluminum,
Backend,BE_resource_carbon,Carbon,
Backend,BE_resource_chemicals,Chemicals,
Backend,BE_resource_crater,Habitable Crater,
Backend,BE_resource_drone,Worker Drone,
Backend,BE_resource_electronics,Electronics,
Backend,BE_resource_food,Food,
Backend,BE_resource_ghg_release,GHG Release,
Backend,BE_resource_glass,Glass,
Backend,BE_resource_heat,Heat,
Backend,BE_resource_iron,Iron,
Backend,BE_resource_military_drone,Assault Drone,
Backend,BE_resource_nitrogen_release,Nitrogen Release,
Backend,BE_resource_carbon_dioxide_release,CO2 Release,
Backend,BE_resource_oxygen_release,Oxygen Release,
Backend,BE_resource_parts,Parts,
Backend,BE_resource_silicon,Silicon,
Backend,BE_resource_special_site,Special Site,
Backend,BE_resource_steel,Steel,
Backend,BE_resource_water,Water,
Backend,BE_Building_NOT_activated,<color=red>DEACTIVATED!</color>,
Backend,BE_Building_NOT_powered,<color=red>OUT OF POWER!</color>,
Backend,BE_Building_health[1],Health: {0:P0},
Backend,BE_Building_HomeDockedDrone[1],Home-docked drone: {0},
Backend,BE_Building_AssignedDrone_SINGULAR[1],Assigned drone: {0},
Backend,BE_Building_AssignedDrone_PLURAL[1],Assigned drones:\n\tDrones {0},
Backend,BE_Building_WorkState_AwaitingConstructionMaterials,Awaiting construction materials:,
Backend,BE_Building_WorkState_MaterialsLine[3],	{0} {1}/{2},
Backend,BE_Building_WorkState_ConstructionProgress[1],Construction progress: {0:P0},
Backend,BE_Building_WorkState_AwaitingUpgradeMaterials,Awaiting upgrade materials:,
Backend,BE_Building_WorkState_UpgradeProgress[1],Upgrade progress: {0:P0},
Backend,BE_Building_WorkState_ScrapProgress[1],Scrap progress: {0:P0},
Backend,BE_Building_WorkState_AwaitingRubbleClearOut,Awaiting rubble clear out,
Backend,BE_building_hyperloop_description,"Allows transport of cargo and workers.",
Backend,BE_building_hyperloop_name,"Hyperloop",
Backend,BE_building_water_mine_description,"Extracts water from underground ice deposits.",
Backend,BE_building_water_mine_name,"Water Extractor",
Backend,BE_building_water_mine_2_name,"Water Extractor II",
Backend,BE_building_water_mine_3_name,"Water Extractor III",
Backend,BE_building_aluminum_mine_description,"Extracts and refines aluminum ore.",
Backend,BE_building_aluminum_mine_name,"Aluminum Mine",
Backend,BE_building_aluminum_mine_2_name,"Aluminum Mine II",
Backend,BE_building_aluminum_mine_3_name,"Aluminum Mine III",
Backend,BE_building_carbon_mine_description,"Extracts carbon from carbon-rich mineral deposits.",
Backend,BE_building_carbon_mine_name,"Carbon Mine",
Backend,BE_building_carbon_mine_2_name,"Carbon Mine II",
Backend,BE_building_carbon_mine_3_name,"Carbon Mine III",
Backend,BE_building_chemicals_mine_description,"Extracts chemicals from mineral deposits.",
Backend,BE_building_chemicals_mine_name,"Chemical Plant",
Backend,BE_building_chemicals_mine_2_name,"Chemical Plant II",
Backend,BE_building_chemicals_mine_3_name,"Chemical Plant III",
Backend,BE_building_iron_mine_description,"Extracts and refines iron ore.",
Backend,BE_building_iron_mine_name,"Iron Mine",
Backend,BE_building_iron_mine_2_name,"Iron Mine II",
Backend,BE_building_iron_mine_3_name,"Iron Mine III",
Backend,BE_building_silicon_mine_description,"Extracts and refines silicon ore.",
Backend,BE_building_silicon_mine_name,"Silicon Mine",
Backend,BE_building_silicon_mine_2_name,"Silicon Mine II",
Backend,BE_building_silicon_mine_3_name,"Silicon Mine III",
Backend,BE_building_uranium_mine_description,"Extracts and refines uranium ore.",
Backend,BE_building_uranium_mine_name,"Uranium Mine",
Backend,BE_building_uranium_mine_2_name,"Uranium Mine II",
Backend,BE_building_uranium_mine_3_name,"Uranium Mine III",
Backend,BE_building_drone_factory_description,"Builds new Workers (when Worker Hubs are vacant).",
Backend,BE_building_drone_factory_name,"Worker Factory",
Backend,BE_building_drone_factory_2_name,"Worker Factory II",
Backend,BE_building_drone_factory_3_name,"Worker Factory III",
Backend,BE_building_electronics_factory_description,"Creates electronic circuits from aluminum and silicon.",
Backend,BE_building_electronics_factory_name,"Electronics Factory",
Backend,BE_building_electronics_factory_2_name,"Electronics Factory II",
Backend,BE_building_electronics_factory_3_name,"Electronics Factory III",
Backend,BE_building_food_factory_description,"Produces food from water and chemicals.",
Backend,BE_building_food_factory_name,"Food Factory",
Backend,BE_building_food_factory_2_name,"Food Factory II",
Backend,BE_building_food_factory_3_name,"Food Factory III",
Backend,BE_building_glass_factory_description,"Creates reinforced glass from silicon.",
Backend,BE_building_glass_factory_name,"Glass Kiln Factory",
Backend,BE_building_glass_factory_2_name,"Glass Kiln Factory II",
Backend,BE_building_glass_factory_3_name,"Glass Kiln Factory III",
Backend,BE_building_parts_factory_description,"Builds machine parts from steel, carbon, and aluminum.",
Backend,BE_building_parts_factory_name,"Parts Factory",
Backend,BE_building_parts_factory_2_name,"Parts Factory II",
Backend,BE_building_parts_factory_3_name,"Parts Factory III",
Backend,BE_building_steel_factory_description,"Creates steel from carbon and iron.",
Backend,BE_building_steel_factory_name,"Steel Factory",
Backend,BE_building_steel_factory_2_name,"Steel Factory II",
Backend,BE_building_steel_factory_3_name,"Steel Factory III",
Backend,BE_building_fuel_factory_description,"Creates fuel from chemicals.",
Backend,BE_building_fuel_factory_name,"Fuel Factory",
Backend,BE_building_fuel_factory_2_name,"Fuel Factory II",
Backend,BE_building_fuel_factory_3_name,"Fuel Factory III",
Backend,BE_building_polymers_factory_description,"Creates polymers from chemicals and carbon.",
Backend,BE_building_polymers_factory_name,"Polymers Factory",
Backend,BE_building_polymers_factory_2_name,"Polymers Factory II",
Backend,BE_building_polymers_factory_3_name,"Polymers Factory III",
Backend,BE_building_areological_scanner_description,"Scans the surrounding areas for resource veins.",
Backend,BE_building_areological_scanner_name,"Areological Scanner",
Backend,BE_building_colony_basic_description,"A basic colony with a capacity of 100.",
Backend,BE_building_colony_basic_name,"Colony",
Backend,BE_building_colony_small_description,"A small colony with a capacity of 250.",
Backend,BE_building_colony_small_name,"Colony II",
Backend,BE_building_colony_medium_description,"A medium colony with a capacity of 500.",
Backend,BE_building_colony_medium_name,"Colony III",
Backend,BE_building_colony_dome_small_description,"A domed colony with a capacity of 1000.",
Backend,BE_building_colony_dome_small_name,"Crater Dome",
