Context,ID,Text,Comments
Backend,BE_CargoQuantity[1],{0:0.#},
Backend,BE_building_NOT_activated,<color=red>ОТКЛЮЧЕНО!</color>,
Backend,BE_building_NOT_powered,<color=red>НЕ ХВАТАЕТ ЭНЕРГИИ!</color>,
Backend,BE_building_health[1],Состояние: {0:P0},
Backend,BE_building_HomeDockedDrone[1],Пристыкованный робот: {0},
Backend,BE_building_AssignedDrone_SINGULAR[1],Назначенный робот: {0},
Backend,BE_building_AssignedDrone_PLURAL[1],Назначенные роботы:\n\tДроны {0},
Backend,BE_building_WorkState_AwaitingConstructionMaterials,Ожидает стройматериалы:,
Backend,BE_building_WorkState_MaterialsLine[3],{0} {1}/{2},
Backend,BE_building_WorkState_ConstructionProgress[1],Идёт строительство: {0:P0},
Backend,BE_building_WorkState_AwaitingUpgradeMaterials,Ожидает материалы для улучшения:,
Backend,BE_building_WorkState_UpgradeProgress[1],Идёт улучшение: {0:P0},
Backend,BE_building_WorkState_ScrapProgress[1],Идёт деконструкция: {0:P0},
Backend,BE_building_WorkState_AwaitingRubbleClearOut,Ожидает разбора останков,
Backend,BE_building_hyperloop_description,Позволяет перемещать грузы и рабочих.,
Backend,BE_building_hyperloop_name,Терминал гиперцепи,
Backend,BE_building_water_mine_description,Извлекает лёд из подземных залежей. Для разработки глубоко и сверхглубоко залегающих месторождений требуются шахты более высокого уровня.,
Backend,BE_building_water_mine_name,Шахта по добыче льда,
Backend,BE_building_water_mine_2_name,Продвинутая шахта по добыче льда,
Backend,BE_building_water_mine_3_name,Сверхсовременная шахта по добыче льда,
Backend,BE_building_water_treatment_plant_description,Добывает воду из водоёмов и очищает её для снабжения построек через систему водоснабжения.,
Backend,BE_building_water_treatment_plant_name,Водоочистная станция,
Backend,BE_building_aluminum_mine_description,Извлекает и переплавляет алюминиевую руду. Для разработки глубоко и сверхглубоко залегающих месторождений требуются шахты более высокого уровня.,
Backend,BE_building_aluminum_mine_name,Шахта по добыче алюминия,
Backend,BE_building_aluminum_mine_2_name,Продвинутая шахта по добыче алюминия,
Backend,BE_building_aluminum_mine_3_name,Сверхсовременная шахта по добыче алюминия,
Backend,BE_building_carbon_mine_description,Извлекает углерод из залежей углеродосодержащих минералов. Для разработки глубоко и сверхглубоко залегающих месторождений требуются шахты более высокого уровня.,
Backend,BE_building_carbon_mine_name,Шахта по добыче углерода,
Backend,BE_building_carbon_mine_2_name,Продвинутая шахта по добыче углерода,
Backend,BE_building_carbon_mine_3_name,Сверхсовременная шахта по добыче углерода,
Backend,BE_building_chemicals_mine_description,Извлекает химикаты из залежей минералов. Для разработки глубоко и сверхглубоко залегающих месторождений требуются заводы более высокого уровня.,
Backend,BE_building_chemicals_mine_name,Химический завод,
Backend,BE_building_chemicals_mine_2_name,Продвинутый химический завод,
Backend,BE_building_chemicals_mine_3_name,Сверхсовременный химический завод,
Backend,BE_building_iron_mine_description,Извлекает и переплавляет железную руду. Для разработки глубоко и сверхглубоко залегающих месторождений требуются шахты более высокого уровня.,
Backend,BE_building_iron_mine_name,Шахта по добыче железной руды,
Backend,BE_building_iron_mine_2_name,Продвинутая шахта по добыче железной руды,
Backend,BE_building_iron_mine_3_name,Сверхсовременная шахта по добыче железной руды,
Backend,BE_building_silicon_mine_description,Извлекает и переплавляет кремниевую породу. Для разработки глубоко и сверхглубоко залегающих месторождений требуются шахты более высокого уровня.,
Backend,BE_building_silicon_mine_name,Шахта по добыче кремния,
Backend,BE_building_silicon_mine_2_name,Продвинутая шахта по добыче кремния,
Backend,BE_building_silicon_mine_3_name,Сверхсовременная шахта по добыче кремния,
Backend,BE_building_uranium_mine_description,Извлекает и переплавляет урановую руду.,
Backend,BE_building_uranium_mine_name,Шахта по добыче урана,
Backend,BE_building_uranium_mine_2_name,Продвинутая шахта по добыче урана,
Backend,BE_building_uranium_mine_3_name,Сверхсовременная шахта по добыче урана,
Backend,BE_building_drone_factory_description,Производит дополнительных рабочих (если есть свободные узловые станции),
Backend,BE_building_drone_factory_name,Фабрика рабочих,
Backend,BE_building_drone_factory_2_name,Продвинутая фабрика рабочих,
Backend,BE_building_drone_factory_3_name,Сверхсовременная фабрика рабочих,
Backend,BE_building_electronics_factory_description,"Производит электронные компоненты, необходимые для ремонта роботов и построек.",
Backend,BE_building_electronics_factory_name,Фабрика электроники,
Backend,BE_building_electronics_factory_2_name,Продвинутая фабрика электроники,
Backend,BE_building_electronics_factory_3_name,Сверхсовременная фабрика электроники,
Backend,BE_building_food_factory_description,Производит синтетическую пищу для снабжения колонистов.,
Backend,BE_building_food_factory_name,Пищевой комбинат,
Backend,BE_building_food_factory_2_name,Продвинутый пищевой комбинат,
Backend,BE_building_food_factory_3_name,Сверхсовременный пищевой комбинат,
Backend,BE_building_glass_factory_description,Производит армированное стекло из кремния.,
Backend,BE_building_glass_factory_name,Стекольная фабрика,
Backend,BE_building_glass_factory_2_name,Продвинутая стекольная фабрика,
Backend,BE_building_glass_factory_3_name,Сверхсовременная стекольная фабрика,
Backend,BE_building_parts_factory_description,"Производит запасные части, пригодные для эксплуатации в условиях марсианского климата.",
Backend,BE_building_parts_factory_name,Фабрика компонентов,
Backend,BE_building_parts_factory_2_name,Продвинутая фабрика компонентов,
Backend,BE_building_parts_factory_3_name,Сверхсовременная фабрика компонентов,
Backend,BE_building_steel_factory_description,Производит сталь из углерода и железа.,
Backend,BE_building_steel_factory_name,Сталелитейная фабрика,
Backend,BE_building_steel_factory_2_name,Продвинутая сталелитейная фабрика,
Backend,BE_building_steel_factory_3_name,Сверхсовременная сталелитейная фабрика,
Backend,BE_building_fuel_factory_description,Производит топливо из химикатов.,
Backend,BE_building_fuel_factory_name,Топливный завод,
Backend,BE_building_fuel_factory_2_name,Продвинутый топливный завод,
Backend,BE_building_fuel_factory_3_name,Сверхсовременный топливный завод,
Backend,BE_building_polymers_factory_description,Производит полимеры из химикатов и углерода.,
Backend,BE_building_polymers_factory_name,Фабрика полимеров,
Backend,BE_building_polymers_factory_2_name,Продвинутая фабрика полимеров,
Backend,BE_building_polymers_factory_3_name,Сверхсовременная фабрика полимеров,
Backend,BE_building_areological_scanner_description,Сканирует территорию на предмет месторождений полезных ископаемых.,
Backend,BE_building_areological_scanner_name,Ареологический сканер,
Backend,BE_building_colony_basic_description,Простейшая колония вместительностью до 100 человек. Нуждается в снабжении льдом и пищей.,
Backend,BE_building_colony_basic_name,Колония,
Backend,BE_building_colony_small_description,Небольшая колония вместительностью до 250 человек. Нуждается в снабжении льдом и пищей.,
Backend,BE_building_colony_small_name,Продвинутая колония,
Backend,BE_building_colony_medium_description,Средняя колония вместительностью до 500 человек. Нуждается в снабжении льдом и пищей.,
Backend,BE_building_colony_medium_name,Сверхсовременная колония,
Backend,BE_building_colony_dome_small_description,Накрытая куполом колония вместительностью до 1000 человек. Для строительства требуется пригодный для этого кратер и подключение к системе водоснабжения.,
Backend,BE_building_colony_dome_small_name,Город-геокупол,
Backend,BE_building_colony_tent_city_description,Большая колония вместительностью до 2500 человек. Не требует герметизации. Требует подключения к системе водоснабжения.,
Backend,BE_building_colony_tent_city_name,Крытый город,
Backend,BE_building_colony_open_city_description,Колония под открытым небом вместительностью до 10000 человек. Не требует герметизации. Требует подключения к системе водоснабжения.,
