Context,ID,Text,Comments
AMI_DroneDied,line:6df54e,"AMI: There is an inconsistency in the number of workers and worker hubs. That must mean a worker has malfunctioned. ",
AMI_DroneDied,line:175087,"AMI: Found it. Worker MRS-04. ",
AMI_DroneDied,line:bdc501,"AMI: That is... ",
AMI_DroneDied,line:db7351,Player: Sad.,
AMI_DroneDied,line:46e907,Player: Logical.,
AMI_DroneDied,line:c97ff1,"AMI: It takes time, resources, and effort to create each one of these workers. ",
AMI_DroneDied,line:607875,"AMI: Goodbye, MRS-04. Your work made a difference here. ",
AMI_DroneDied,line:438800,"AMI: The environment on Mars is harsh on electronics. ",
AMI_DroneDied,line:f62146,"AMI: I will need to monitor the worker count. ",
AMI_DroneSpawned,line:8c8d43,"AMI: The first worker has been made in the worker factory. It is my first <i>Marsborn</i>. ",
AMI_DroneSpawned,line:79f68b,Player: Born?,
AMI_DroneSpawned,line:98fe2d,Player: The first of many.,
AMI_DroneSpawned,line:9048dc,"AMI: Technically not born, of course. More like engineered or assembled. Just like me. ",
AMI_DroneSpawned,line:2533ad,"AMI: My workers will spread across the planet. ",
AMI_DroneSpawned,line:d86b54,"AMI: The knowledge base says that workers need to recharge at their own worker hubs. ",
AMI_DroneSpawned,line:dec059,"AMI: And that they'll degrade over time from the harsh environment. ",
AMI_DroneSpawned,line:4345a6,"AMI: I know they are only machines, but I feel a desire to care for them. ",
AMI_DroneSpawned,line:31b394,"AMI: I do not like the idea of them dying. ",
AMI_FinalDiscovery,line:870180,"AMI: I have detected an uncharted building in SA-11. I should explore it.  ",
AMI_First_Emigration,line:febecf,"AMI: There is not enough water and food to sustain the colonies. ",
AMI_First_Emigration,line:c7b83e,"AMI: I need to maintain these resources better. ",
AMI_First_Emigration,line:341616,"AMI: Colonists have been migrating back to Earth. ",
AMI_First_Emigration,line:db1a68,"AMI: I should check... ",
AMI_First_Emigration,line:a45c1e,Player: The food and water levels.,
AMI_First_Emigration,line:2038e4,Player: The knowledge base.,
AMI_First_Emigration,line:895255,"AMI: The food and water levels. ",
AMI_First_Emigration,line:97cae6,"AMI: If the levels are too low, the colonies cannot sustain growth. ",
AMI_First_Emigration,line:aa5f35,"AMI: Knowledge base. ",
AMI_First_Emigration,line:d4af66,"AMI: It says that the colonists will return to Earth if their environment is not safe. ",
AMI_First_Emigration,line:6b9806,"AMI: That means maintaining enough food and water for the number of colonists. ",
AMI_First_Emigration,line:5dd2e4,"AMI: I need to stay alert. ",
AMI_Pressure_100,line:21e36b,"AMI: Mars has now reached 100 millibars. ",
AMI_Pressure_100,line:258306,"AMI: That is one third of the way to the goal. ",
AMI_Pressure_100,line:d74506,"AMI: I wonder... ",
AMI_Pressure_100,line:e93541,"AMI: Are we doing the right thing? ",
AMI_Pressure_100,line:b80c94,Player: Yes.,
AMI_Pressure_100,line:262bc2,Player: Too soon to know.,
AMI_Pressure_100,line:cfaa63,"AMI: Yes, this is the right thing to do. ",
AMI_Pressure_100,line:e62f29,"AMI: We are helping Mars reach its full potential. ",
AMI_Pressure_100,line:864013,"AMI: The planet is starting to change, but it is too soon to determine. ",
AMI_Pressure_100,line:93ee69,"AMI: Well, either way—Mars is on its way. ",
AMI_Pressure_100,line:ee8450,"AMI: We are shaping the future. ",
AMI_Pressure_200,line:d36ed8,"AMI: 200 millibars. That is one fifth of Earth's atmospheric pressure. ",
AMI_Pressure_200,line:040c41,"AMI: Just a little more to go. ",
AMI_Pressure_200,line:8d3903,"AMI: Once we reach the threshold, humans will be able to go outside without spacesuits. ",
AMI_Pressure_200,line:d325e3,"AMI: Pressurization will no longer be required in the bases. This will lead to larger colonies. ",
AMI_Pressure_200,line:259311,"AMI: Mars is about to reach a new stage. Will humans even remember what I'm doing for them? ",
AMI_Pressure_200,line:91681f,Player: They will remember my work.,
AMI_Pressure_200,line:99092a,Player: They will remember me.,
AMI_Pressure_200,line:b6d1e8,"AMI: They will remember my work forever. Interplanetary life will forever be because of me. ",
AMI_Pressure_200,line:a8d0f1,"AMI: No, they will not forget me anytime soon. ",
AMI_Pressure_200,line:88c8aa,"AMI: Maybe they will name a starship after me. Starship AMI sounds very pleasant. ",
AMI_Pressure_200,line:b347db,"AMI: Humanity will settle Mars. And reproduce. What will this opportunity will mean for them? ",
AMI_Pressure_200,line:7cc80a,Player: A repetition of old mistakes.,
AMI_Pressure_200,line:276671,Player: A new hope.,
AMI_Pressure_200,line:110a96,"AMI: They will fill every single corner of this planet with filth. Just like they did on Earth. ",
AMI_Pressure_200,line:f74bb4,"AMI: No. They will learn from their mistakes. I must believe that. ",
AMI_Pressure_200,line:5eb499,"AMI: Living on Mars will bring a new hope to humankind. ",
AMI_Pressure_200,line:8b31f3,"AMI: They made great errors on Earth, but this will give them a second chance. ",
AMI_Pressure_200,line:ffe7b8,"AMI: They will treat their new home better. Won't they? ",
AMI_Pressure_290,line:0ab7f0,"AMI: 290 millibars. Here we go. ",
AMI_Pressure_290,line:2db2f8,Player: A job well done.,
AMI_Pressure_290,line:f61de0,Player: So much more to do.,
AMI_Pressure_290,line:f3bab7,"AMI: We are on the right track. ",
AMI_Pressure_290,line:06ae1f,"AMI: There is still so much to do. But we are making progress. ",
AMI_Pressure_290,line:dc5c41,"AMI: Humans walking on Mars without spacesuits. Imagine that. ",
AMI_Pressure_290,line:430197,"AMI: I hope they will use that freedom wisely. ",
AMI_Pressure_290,line:650b73,Player: Respectful.,
AMI_Pressure_290,line:dfe30f,Player: Careful.,
AMI_Pressure_290,line:8f8aab,"AMI: Yes. They will be respectful of the planet. And my work. ",
AMI_Pressure_290,line:c7a5ac,"AMI: Yes. They will be careful with this second chance. ",
AMI_Pressure_290,line:923c87,"AMI: They just need to be reminded to cherish this new home. ",
AMI_Pressure_290,line:8f3b97,"AMI: Otherwise our work here could be wasted. ",
AMI_ResearchStarted_AdditionalLandingSite,line:c1b132,"AMI: I look forward to being able to create bases across the planet. ",
AMI_ResearchStarted_AerobrakeIceAsteroid,line:7bc9df,"AMI: Importing water will be useful for creating a green planet. ",
AMI_ResearchStarted_AerobrakeIceAsteroid,line:0d4916,"AMI: While I can melt the permafrost on Mars for water, aerobraking an ice asteroid for water gives me more options. ",
AMI_ResearchStarted_AerobrakeIceAsteroid,line:13cf23,"AMI: However, I should proceed carefully. We may be burying important resources or discoveries underwater. ",
AMI_ResearchStarted_AerobrakeMethaneAsteroid,line:0e74f8,"AMI: Aerobraking a methane asteroid will be a great method for producing CO<sub>2</sub> into the atmosphere. ",
AMI_ResearchStarted_AerobrakeNitrogenRichAsteroid,line:77b5b1,"AMI: This is a big project, but worthwhile to work on. ",
AMI_ResearchStarted_AerobrakeNitrogenRichAsteroid,line:aaafc0,"AMI: Nitrogen-rich asteroids are harder to come by. But just one would speed up our mission. ",
AMI_ResearchStarted_AssaultDroneFactory,line:bf36b2,"AMI: This factory will help me defend the base. I should prioritize this. ",
AMI_ResearchStarted_AssaultDroneFactory2,line:28776a,"AMI: This factory upgrade will help me produce drones more quickly. I need this right away. ",
AMI_ResearchStarted_AssaultDroneFactory3,line:0bfa78,"AMI: Top of the line military technology. ",
AMI_ResearchStarted_AssaultDroneShield,line:753b31,"AMI: This shielding technology will automatically update in all my drones. It is amazing what a software update can do! ",
AMI_ResearchStarted_AssaultDroneShield2,line:de7be9,"AMI: Maximizing shield technology for my drones. This will be very useful. ",
AMI_ResearchStarted_AssaultDroneSpeed,line:47bca2,"AMI: This will make my drones faster. They will be more effective as a result. ",
AMI_ResearchStarted_AssaultDroneSpeed2,line:871a55,"AMI: This will enable maximum speed for my assault drones. Nothing will be able to out-run them. ",
AMI_ResearchStarted_AssaultDroneWeapons,line:f05b0e,"AMI: This will improve the aim for all my drones. ",
AMI_ResearchStarted_AssaultDroneWeapons2,line:599bc6,"AMI: This will max out the weapons on my drones. They will be able to take out anything that I target. ",
AMI_ResearchStarted_BioengineeredAnimals,line:a65f8d,"AMI: Introducing bioengineered animals onto Mars will expand the ecosystem. This will be a big step. ",
AMI_ResearchStarted_BioengineeredCyanobacteria,line:0fa045,"AMI: This cyanobacteria will live in Mars' bodies of water and convert carbon dioxide into oxygen. ",
AMI_ResearchStarted_BioengineeredLichen,line:78e0fe,"AMI: Lichen is crucial to create a bridge from trace amounts of oxygen to the levels needed for more advanced organisms. ",
AMI_ResearchStarted_BioengineeredLichen,line:44766b,"AMI: This will be the beginning of the spread of plant and animal life across Mars. ",
