Context,ID,Text,Comments
Frontend,TXT_CargoQuantity[1],{0:0.#},
Frontend,TXT_TooFarFromBase_Content,Слишком далеко,
Frontend,TXT_UnevenTerrain_Content,Пересечённая местность,
Frontend,TXT_Collision_Content,Слишком близко,
Frontend,TXT_NeedsResource_Content,Требуется ресурс,
Frontend,TXT_PlacementPresenter_Needs,Требуется {0},
Frontend,TXT_IncompatibleResource_Content,Не тот ресурс,
Frontend,TXT_BlocksResource_Content,Блокирует ресурс,
Frontend,TXT_NoSectorPermission_Content,Сектор закрыт,
Frontend,TXT_Underwater_Content,Под водой,
Frontend,TXT_NoMaintenance_Content,Не будет ремонтироваться,
Frontend,TXT_NoPower_Content,Не будет электроэнергии,
Frontend,TXT_HyperloopClose_Content,Слишком близко от другой гиперцепи,
Frontend,TXT_HyperloopFar_Content,Рядом нет станций,
Frontend,TXT_FloodableArea_Content,Зона затопления,
Frontend,TXT_NeedsEquatorialStrip_Content,Далеко от экватора,
Frontend,TXT_NeedsSufficientPressure_Content,Требуется давление в 300 атм.,
Frontend,TXT_NeedsBreathableAtmosphere_Content,Требуется пригодная для дыхания атмосфера,
Frontend,TXT_BuildingLimitReached_Content,Достигнут лимит построек,
Frontend,TXT_SpaceportLimitReached_Content,Достигнут лимит космопортов,
Frontend,TXT_PolarAreaProhibited_Content,Недоступная полярная зона,
Frontend,TXT_RivalAreaProhibited_Content,Поблизости вражеская база,
Frontend,TXT_InsufficientExtractionLevel_Content,Требуется шахта более высокого уровня,
Frontend,TXT_NotEnoughValidTerrain_Content,Мало пригодных для использования земель,
Frontend,TXT_FarmTooClose_Content,Слишком близко от фермы,
Frontend,TXT_Pipes_PumpingWater,Качает воду,
Frontend,TXT_Pipes_NotEnoughWater,Недостаточно воды,
Frontend,TXT_Pipes_NoWaterSupplyLegend,Водоснабжение отсутствует,
Frontend,TXT_NeedsWaterLevelReason,Далеко от воды,
Frontend,TXT_location_north,С,
Frontend,TXT_location_south,Ю,
Frontend,TXT_location_east,В,
Frontend,TXT_location_west,З,
Frontend,TXT_wayUpgrade_distance,Расстояние>>>,
Frontend,TXT_wayUpgrade_costPerDistance,Расчётная стоимость,
Frontend,TXT_HyperloopConnection_TooClose,Слишком близко,
Frontend,TXT_HyperloopConnection_TooFar,Слишком далеко,
Frontend,TXT_HyperloopConnection_NoConnections,Нет станций для связи,
Frontend,TXT_HyperloopConnection_AlreadyConnected,Уже связана,
Frontend,TXT_HyperloopConnection_NotBuilt,Не построена,
Frontend,TXT_HyperloopConnection_Rubble,Остатки,
Frontend,TXT_HyperloopConnection_ConnectionClick,"Нажмите, чтобы связать",
Frontend,TXT_terraformingScreen_phaseObjective,Цель этапа,
Frontend,TXT_resarchWidget_SelectionPending,Ожидает выбора,
Frontend,TXT_resarchWidget_AllTechsResearched,Все технологии исследованы,
Frontend,TXT_save_panel_no_directive,Директивы отсутствуют,
Frontend,TXT_Space_SectorPermission,Доступ требует разрешения,
Frontend,TXT_District_Name,Район «{0}»,
Frontend,TXT_spaceViewController_state_NotAvailable,НЕДОСТУПНО,
Frontend,TXT_spaceViewController_launches,ЗАПУСКИ: {0}/{1},
Frontend,TXT_spaceViewController_launches2,Запуски: {0}/{1},
Frontend,TXT_spaceViewController_state_inProgress,ИДЁТ РАБОТА,
Frontend,TXT_spaceViewController_state_ongoing,В ПРОЦЕССЕ,
Frontend,TXT_spaceViewController_state_hidden,СКРЫТО,
Frontend,TXT_spaceViewController_state_available,ДОСТУПНО,
Frontend,TXT_spaceViewController_state_done,ВЫПОЛНЕНО,
Frontend,TXT_spaceViewController_state_expired,Просрочено,
Frontend,TXT_Units_MW_old,мВт,
Frontend,TXT_Units_MW_sols_old,мВт/сут.,
Frontend,TXT_Units_RPs_old,ОИ,
Frontend,TXT_Units_RP_old,ОИ,
Frontend,TXT_Units_Alt_old,выс.,
Frontend,TXT_Units_km_old,км,
Frontend,TXT_Units_mbar_old,мАтм,
Frontend,TXT_Units_Km_old,км,
Frontend,TXT_Units_M_old,мес.,
Frontend,TXT_Units_meter_old,м,
Frontend,TXT_Units_MW,{0:0}<size={1}%> мВт</size>,
Frontend,TXT_Units_MW_sols,{0:0.#} мВт/сут.,
Frontend,TXT_Units_RPs,{0:0.#} <size={1}%> ОИ</size>,
Frontend,TXT_Units_RP0,{0:0} ОИ,
Frontend,TXT_Units_RPs0,{0:0} ОИ,
Frontend,TXT_Units_RPs_ratio,{0:0}/{1:0} ОИ,
Frontend,TXT_Units_km,{0:0.# км},
Frontend,TXT_Units_mbar,{0:0.##} мАтм.,
Frontend,TXT_Units_mbar_long,{0:0.#####} мАтм.,
Frontend,TXT_Units_mbar_percent,{0:0.##} мАтм. ({1}),
Frontend,TXT_Units_mbar_short,{0:0.#} мАтм.,
Frontend,TXT_Units_mbar_small,{0:0} мАтм.,
Frontend,TXT_Units_microbar_long,{0:0.#####} мкАтм.,
Frontend,TXT_Units_tempC,{0:0.##} °C,
Frontend,TXT_Units_tempC_percent,{0:0.##} °C ({1}),
Frontend,TXT_Units_tempC_short,{0:0.#}°C,
Frontend,TXT_Units_tempC_small,{0:0}°C,
Frontend,TXT_Units_Km,{0:#} км,
Frontend,TXT_Units_months_short,{0:0} M,
Frontend,TXT_Units_meters_short,{0:0} м,
Frontend,TXT_Units_ML,{0:0}<size={1}%> Мл</size>,
Frontend,TXT_Units_ML2,{0:0}/{1:0}<size={2}%> Мл</size>,
Frontend,TXT_spaceViewController_singleLaunch,ЗАПУСК: {0},
Frontend,TXT_Percentages,{0}/{1}%,
Frontend,TXT_NoPipes_Content,Нет водоснабжения,
Frontend,TXT_PercentagesMin,{0}%<br><size=70%>(мин. {1}%)</size>,
Frontend,TXT_Units_mbar_year,{0:0.0#} мАтм/г,
Frontend,TXT_Units_mbar_year_percent,{0:0.##} мАтм/г ({1}),
Frontend,TXT_Units_hour_minute_second,{0}:{1}:{2},
Frontend,TXT_Units_MW_years,{0:0.#} мВт.г,
Frontend,TXT_wayUpgrade_maximumLevelReached,Полностью улучшена,
Frontend,TXT_NeedsOceanReason,Нельзя строить не на воде,
Frontend,TXT_UnderRiver,В реке,
Frontend,TXT_NeedsAquaticPlacement,Требуется технология «Надводные постройки»,
Frontend,TXT_Generic_With_Parenthesis,{0} ({1}),
Frontend,TXT_DialoguePanel_Introspection_Thread,РЕФЛЕКСИЯ,
Frontend,TXT_DialoguePanel_reflection,РЕФЛЕКСИЯ,
Frontend,TXT_DialoguePanel_Incoming_Call,ВХОДЯЩИЙ ЗВОНОК,
Frontend,TXT_DialoguePanel_Data_Received,Получено: {0}–{1},
Frontend,TXT_DialoguePanel_Communication_Module,МОДУЛЬ СВЯЗИ,
Frontend,TXT_DialoguePanel_Communication_Module_short,М. СВЯЗИ,
Frontend,TXT_DialoguePanel_Answer_Timeout,Время ожидания ответа,
Frontend,TXT_DialoguePanel_Decision_Timeout,Время ожидания решения,
Frontend,TXT_DialoguePanel_Response_Module,Модуль ответов,
Frontend,TXT_DialoguePanel_Cognitive_Test_Module,Когнитивно-тестовый модуль,
Frontend,TXT_DialoguePanel_Cognitive_Test,Когнитивный тест,
Frontend,TXT_DialoguePanel_Enable_Safe_Mode,Перейти в безопасный режим,
Frontend,TXT_DialoguePanel_Cognitive_Test_Subject,МКА-РОБО-ЭМИ-02,
Frontend,TXT_DialoguePanel_Certified_By,Сертифицировано:,
Frontend,TXT_DialoguePanel_Panel_Pages,{0}/{1},
Frontend,TXT_DialoguePanel_Person_Location,Местонахождение:,
Frontend,TXT_DialoguePanel_Killswitch_Warning,Внимание!,
Frontend,TXT_DialoguePanel_Killswitch_Imminent_Destruction,Запускается аварийное отключение,
Frontend,TXT_DialoguePanel_Killswitch_ISA_Protocol,Особый протокол МКА<br>Только для уполномоченного персонала<br>Уровень доступа: омега<br>Кодовое название: тишина<br>Инструкция №1K1K1<br>ij-78a9a6k0ba98,
Frontend,TXT_DialoguePanel_Killswitch_ISA_Protocol2,Особый протокол МКА,
Frontend,TXT_DialoguePanel_Killswitch_Maximum_Security,Только для уполномоченного персонала,
Frontend,TXT_DialoguePanel_Killswitch_Level_Omega,Уровень доступа: омега,
Frontend,TXT_DialoguePanel_Killswitch_Codename_Killswitch,Кодовое название: тишина,
Frontend,TXT_DialoguePanel_Killswitch_Order_1K1K1,Инструкция №1K1K1,
Frontend,TXT_DialoguePanel_Killswitch_Number,ij-78a9a6k0ba98,
Frontend,TXT_DialoguePanel_Killswitch_Security_Measure,Устройство аварийного отключения,
Frontend,TXT_BuildPanel_Basic,Основные,
Frontend,TXT_BuildPanel_Mines,Шахты,
Frontend,TXT_BuildPanel_Factories,Фабрики,
Frontend,TXT_BuildPanel_Colonies,Колонии,
Frontend,TXT_BuildPanel_Power,Электростанции,
Frontend,TXT_BuildPanel_Military,Военные,
Frontend,TXT_BuildPanel_Terraforming,Терраформирование,
Frontend,TXT_BuildPanel_Terraforming_Life,Жизнь,
Frontend,TXT_BuildPanel_Terraforming_Atmosphere,Атмосфера,
Frontend,TXT_Control_Setting_1x,1x,
Frontend,TXT_Control_Setting_2x,2x,
Frontend,TXT_Control_Setting_4x,4x,
Frontend,TXT_Control_Setting_8x,8x,
Frontend,TXT_Control_Setting_16x,16x,
Frontend,TXT_Control_Setting_Clock_Speed,СКОРОСТЬ,
Frontend,TXT_HUD_Date_Year,год,
Frontend,TXT_HUD_Date_Month,МЕС,
Frontend,TXT_HUD_Date_Sol,сут.,
Frontend,TXT_HUD_0x,0x,
Frontend,TXT_HUD_Power_Graph_Title,Производство и потребление,
Frontend,TXT_Hazard_Asteroid,Падение астероида,
Frontend,TXT_Hazard_DustDevil,<size=15>ВНИМАНИЕ</size><br>ПЫЛЕВОЙ ВИХРЬ,
Frontend,TXT_Hazard_Sandstorm,Песчаная буря,
Frontend,TXT_SpaceScreen_Fluff_EquatorialRadius,"Экваториальный радиус – 3396,2 км<br>Наклон оси – 25,19°",
Frontend,TXT_SpaceScreen_Fluff_Phobos_info,"Орбита – 9378 км<br>Диаметр – 22,2 км",
Frontend,TXT_SpaceScreen_Fluff_Phobos,Фобос,
Frontend,TXT_SpaceScreen_Fluff_Deimos_Fluff,"Орбита – 23,459 км<br>Диаметр – 12,6 км",
Frontend,TXT_Button_AdditionalLandingSite,Доступен новый посадочный модуль,
Frontend,TXT_Button_AdditionalSpaceElevator,Доступен новый космический лифт,
Frontend,TXT_HUD_Pressure,Давление,
Frontend,TXT_Warning_MeteorShower,Приближается метеоритный дождь,
Frontend,TXT_Warning_UnknownSignal,Неизвестный сигнал,
Frontend,TXT_Warning_HostileForces,ОБНАРУЖЕНЫ СИЛЫ ПРОТИВНИКА,
Frontend,TXT_SpaceScreen_Fluff_DeimosCrashing,Деймос,
Frontend,TXT_SpaceScreen_Fluff_DeimosCrashing_Info,Падает,
Frontend,TXT_SpaceScreen_Card_AutoRenew,Автоматически пролонгировать проект,
Frontend,TXT_TerraformingPlanScreen_Title,ПЛАН ТЕРРАФОРМИРОВАНИЯ,
Frontend,TXT_TerraformingPlanScreen_Objetives,цели,
Frontend,TXT_TerraformingPlanScreen_Stages,этапы,
Frontend,TXT_specialProject_singular,Спецпроект,
Frontend,TXT_pressure_o2_level,Уровень O<sub>2</sub>,
Frontend,TXT_pressure_co2_level,Уровень CO<sub>2</sub>,
Frontend,TXT_temperature,Температура,
Frontend,TXT_frozen_co2,Замёрзший CO<sub>2</sub>,
Frontend,TXT_pressure,Давление,
Frontend,TXT_pressure_o2,Уровень O<sub>2</sub>,
Frontend,TXT_water_stock,Статические запасы воды,
Frontend,TXT_District_Selection_Button,Список районов,
Frontend,TXT_TerraformingPlanScreen_Category_Terrain,Ландшафт,
Frontend,TXT_TerraformingPlanScreen_Category_Gases,Газы,
