Context,ID,Text,Comments
AMI_DroneDied,line:6df54e,AMI: Há uma inconsistência entre o número de operários e o de centrais de operários. Isso significa que um operário está avariado.,
AMI_DroneDied,line:175087,AMI: Encontrei. Operário MRS-04.,
AMI_DroneDied,line:bdc501,AMI: Isso é...,
AMI_DroneDied,line:db7351,Player: Triste.,
AMI_DroneDied,line:46e907,Player: Lógico.,
AMI_DroneDied,line:c97ff1,"AMI: São necessários recursos, tempo e esforço para criar cada um desses operários.",
AMI_DroneDied,line:607875,"AMI: Adeus, MRS-04. Seu trabalho aqui foi importante.",
AMI_DroneDied,line:438800,AMI: O ambiente de Marte é severo para equipamentos eletrônicos.,
AMI_DroneDied,line:f62146,AMI: Preciso monitorar a contagem de operários.,
AMI_DroneSpawned,line:8c8d43,AMI: O primeiro operário foi feito na fábrica de operários. Meu primeiro operário <i>nascido em Marte</i>.,
AMI_DroneSpawned,line:79f68b,Player: Nascido?,
AMI_DroneSpawned,line:98fe2d,Player: O primeiro de muitos.,
AMI_DroneSpawned,line:9048dc,"AMI: Tecnicamente, não 'nascido', claro. Está mais para 'montado' ou 'desenvolvido'. Assim como eu.",
AMI_DroneSpawned,line:2533ad,AMI: Meus operários vão se espalhar pelo planeta.,
AMI_DroneSpawned,line:d86b54,AMI: A base de conhecimento diz que os operários precisam ser recarregados em suas respectivas centrais de operários.,
AMI_DroneSpawned,line:dec059,"AMI: E, com o tempo, eles serão degradados pelo ambiente rigoroso.",
AMI_DroneSpawned,line:4345a6,"AMI: Sei que eles são apenas máquinas, mas sinto um desejo de cuidar deles.",
AMI_DroneSpawned,line:31b394,AMI: Não gosto de pensar neles morrendo.,
AMI_First_Emigration,line:febecf,AMI: Não há água e comida suficientes para manter as colônias.,
AMI_First_Emigration,line:c7b83e,AMI: Preciso manter melhor esses recursos.,
AMI_First_Emigration,line:341616,AMI: Os colonos têm migrado de volta para a Terra.,
AMI_First_Emigration,line:db1a68,AMI: Seria melhor verificar...,
AMI_First_Emigration,line:a45c1e,Player: Os níveis de comida e água.,
AMI_First_Emigration,line:2038e4,Player: A base de conhecimento.,
AMI_First_Emigration,line:895255,AMI: Os níveis de comida e água.,
AMI_First_Emigration,line:97cae6,"AMI: Se os níveis estiverem muito baixos, as colônias não conseguirão manter o crescimento.",
AMI_First_Emigration,line:aa5f35,AMI: Base de conhecimento.,
AMI_First_Emigration,line:d4af66,AMI: Ela diz que os colonos retornarão à Terra se não estiverem em um ambiente seguro.,
AMI_First_Emigration,line:6b9806,AMI: Em outras palavras: manter comida e água suficientes para o número de colonos.,
AMI_First_Emigration,line:5dd2e4,AMI: Preciso ficar alerta.,
AMI_Pressure_100,line:21e36b,AMI: Marte chegou a 100 milibares.,
AMI_Pressure_100,line:258306,AMI: Isso é um terço da meta.,
AMI_Pressure_100,line:d74506,AMI: Será que...,
AMI_Pressure_100,line:e93541,AMI: Estamos fazendo a coisa certa?,
AMI_Pressure_100,line:b80c94,Player: Sim.,
AMI_Pressure_100,line:262bc2,Player: É muito cedo para saber.,
AMI_Pressure_100,line:cfaa63,"AMI: Sim, isso é o certo a se fazer.",
AMI_Pressure_100,line:e62f29,AMI: Estamos ajudando Marte a atingir todo o seu potencial.,
AMI_Pressure_100,line:864013,"AMI: O planeta está começando a mudar, mas é cedo demais para saber.",
AMI_Pressure_100,line:93ee69,"AMI: Bem, de qualquer forma: Marte está em progresso.",
AMI_Pressure_100,line:ee8450,AMI: Estamos moldando o futuro.,
AMI_Pressure_200,line:d36ed8,AMI: 200 milibares. Um quinto da pressão atmosférica da Terra.,
AMI_Pressure_200,line:040c41,AMI: Só falta mais um pouco.,
AMI_Pressure_200,line:8d3903,"AMI: Depois que atingirmos o patamar, os humanos poderão sair sem os trajes espaciais.",
AMI_Pressure_200,line:d325e3,AMI: A pressurização não será mais necessária nas bases. Isso vai acabar gerando colônias maiores.,
AMI_Pressure_200,line:259311,AMI: Marte está prestes a alcançar um novo estágio. Será que os humanos vão se lembrar do que estou fazendo por eles?,
AMI_Pressure_200,line:91681f,Player: Vão lembrar de mim para sempre.,
AMI_Pressure_200,line:99092a,Player: Vão esquecer de mim com o tempo.,
AMI_Pressure_200,line:b6d1e8,AMI: Eles vão se lembrar do meu trabalho para sempre. A vida interplanetária vão se modificar para sempre por minha causa.,
AMI_Pressure_200,line:a8d0f1,"AMI: Não, eles não vão se esquecer de mim tão cedo.",
AMI_Pressure_200,line:88c8aa,AMI: Talvez eles batizem uma nave em minha homenagem. 'Nave Estelar AMI' soa muito bem.,
AMI_Pressure_200,line:b347db,AMI: A humanidade vai se estabelecer em Marte. E se reproduzir. Qual será o significado dessa oportunidade para eles?,
AMI_Pressure_200,line:7cc80a,Player: Uma repetição de erros antigos.,
AMI_Pressure_200,line:276671,Player: Uma nova esperança.,
AMI_Pressure_200,line:110a96,AMI: Eles vão encher todo canto desse planeta de sujeira. Assim como fizeram com a Terra.,
AMI_Pressure_200,line:f74bb4,AMI: Não. Eles vão aprender com os erros passados. Preciso acreditar nisso.,
AMI_Pressure_200,line:5eb499,AMI: Viver em Marte vai trazer uma nova esperança para a humanidade.,
AMI_Pressure_200,line:8b31f3,"AMI: Eles cometeram muitos erros na Terra, mas essa será uma segunda chance.",
AMI_Pressure_200,line:ffe7b8,AMI: Eles vão cuidar melhor do novo lar deles. Certo?,
AMI_Pressure_290,line:0ab7f0,AMI: 290 milibares. Finalizado.,
AMI_Pressure_290,line:2db2f8,Player: Um trabalho bem feito.,
AMI_Pressure_290,line:f61de0,Player: Ainda há muito a ser feito.,
AMI_Pressure_290,line:f3bab7,AMI: Estamos no caminho certo.,
AMI_Pressure_290,line:06ae1f,AMI: Ainda há muito para se fazer. Mas estamos progredindo.,
AMI_Pressure_290,line:dc5c41,AMI: Humanos andando em Marte sem trajes espaciais. Imagine só.,
AMI_Pressure_290,line:430197,AMI: Espero que eles usem essa liberdade de forma sábia.,
AMI_Pressure_290,line:650b73,Player: Respeitosos.,
AMI_Pressure_290,line:dfe30f,Player: Cuidadosos.,
AMI_Pressure_290,line:8f8aab,AMI: Sim. Eles vão ter respeito por esse planeta. E pelo meu trabalho.,
AMI_Pressure_290,line:c7a5ac,AMI: Sim. Eles vão ter cuidado com essa segunda chance.,
AMI_Pressure_290,line:923c87,AMI: Eles só precisam se lembrar de valorizar esse novo lar.,
AMI_Pressure_290,line:8f3b97,"AMI: Caso contrário, nosso trabalho aqui pode ser jogado no lixo.",
AMI_ResearchStarted_AdditionalLandingSite,line:c1b132,AMI: Mal posso esperar para ser capaz de criar bases pelo planeta.,
AMI_ResearchStarted_AerobrakeIceAsteroid,line:7bc9df,AMI: A importação de água será útil para a criação de um planeta verde.,
AMI_ResearchStarted_AerobrakeIceAsteroid,line:0d4916,"AMI: Posso derreter o pergelissolo em Marte para conseguir água, mas aerofrenar um asteroide de gelo para esse fim me dá mais opções.",
AMI_ResearchStarted_AerobrakeIceAsteroid,line:13cf23,"AMI: No entanto, devo proceder com cuidado. Não queremos enterrar recursos ou descobertas importantes embaixo d'água.",
AMI_ResearchStarted_AerobrakeMethaneAsteroid,line:0e74f8,AMI: Aerofrenar um asteroide de metano vai ser um ótimo método de introduzir CO<sub>2</sub> para a atmosfera.,
AMI_ResearchStarted_AerobrakeNitrogenRichAsteroid,line:77b5b1,"AMI: É um projeto grande, mas que vale a pena.",
AMI_ResearchStarted_AerobrakeNitrogenRichAsteroid,line:aaafc0,AMI: Asteroides ricos em nitrogênio são mais raros. Mas um só deles já aceleraria a nossa missão.,
AMI_ResearchStarted_AssaultDroneFactory,line:bf36b2,AMI: Essa fábrica vai me ajudar a defender a base. Melhor eu priorizar isso.,
AMI_ResearchStarted_AssaultDroneFactory2,line:28776a,AMI: Esse aprimoramento de fábrica vai me ajudar a produzir drones mais rapidamente. Preciso disso imediatamente.,
AMI_ResearchStarted_AssaultDroneFactory3,line:0bfa78,AMI: Tecnologia militar de última linha.,
AMI_ResearchStarted_AssaultDroneShield,line:753b31,AMI: A tecnologia de proteção vai atualizar todos os meus drones automaticamente. É incrível o que uma atualização de software pode fazer!,
AMI_ResearchStarted_AssaultDroneShield2,line:de7be9,AMI: Maximizar a tecnologia de proteção dos meus drones. Isso vai ser muito útil.,
AMI_ResearchStarted_AssaultDroneSpeed,line:47bca2,"AMI: Isso vai tornar meus drones mais rápidos. Por consequência, eles serão mais eficientes.",
AMI_ResearchStarted_AssaultDroneSpeed2,line:871a55,AMI: Isso vai habilitar o máximo de velocidade para meus drones de ataque. Nada vai escapar deles.,
