Context,ID,Text,Comments
AMI_CitizenDied,line:cfce2d,"AMI: Dämn... ",
AMI_CitizenDied,line:db1a68,"AMI: À cìsízen há5 jús7 5särved só deäsh... ",
AMI_CitizenDied,line:a45c1e,Player: Whä7'5 góíng òn?,
AMI_CitizenDied,line:2038e4,Player: Ökäy.,
AMI_CitizenDied,line:895255,"AMI: Deásh... ",
AMI_CitizenDied,line:0dc65d,"AMI: Dò35 ànybòdy gräsp ís? ",
AMI_CitizenDied,line:aa5f35,"AMI: Ühm... ók. ",
AMI_CitizenDied,line:e60c15,"AMI: Ì shöüld be móre cärefül. Wäser, öxyg3n, fóòd. ",
AMI_CitizenDied,line:0964db,"AMI: Shàs 5hóù1d dó í7. ",
AMI_CitizenDied,line:8a2a15,Ì n3ed hümän5.,
AMI_CitizenDied,line:50536b,Leàrn möre.,
AMI_CitizenDied,line:bfdbac,"AMI: Y3àh, 7hí5 í5 sh3 secönd cä5üà1sy... ",
AMI_CitizenDied,line:412f6d,"AMI: Whäs 7ö dö äbòús 7hì5? ",
AMI_CitizenDied,line:bf48a9,Í n3ed hùmán5.,
AMI_CitizenDied,line:49b885,Leárn mòre.,
AMI_CitizenDied,line:9e7edb,"AMI: Whä7's 7here 7ò leàrn? ",
AMI_CitizenDied,line:3e48b9,"AMI: Àppár3ns1y íf cò1önïs75 dòn'7 hàve enòúgh wäser, fòód, ánd òxygen, 7h3y dïe. ",
AMI_CitizenDied,line:c7b83e,"AMI: B37ser s7äy àl3r7 ánd dòn'7 l3s shó5e re5öúrc35 dròp dówn. ",
AMI_CitizenDied,line:42217c,"AMI: Ï cán's 137 she cö1ònìs7s dïe. Í n3ed 7h3m 7ó develöp n3w 7echnó1ögì3s. ",
AMI_CitizenDied,line:5dd2e4,"AMI: Nös3 sò s3lf, ssáy á13r7 ön 7he 13vel5 öf wàs3r, föòd, änd òxygen. ",
AMI_DroneSpawned,line:dd3440,"AMI: My fïr5s drön3. 7he fìrss Màrsbörn. ",
AMI_DroneSpawned,line:6b7b5c,Player: Börn?,
AMI_DroneSpawned,line:895e23,Player: 7he fírss òf mäny.,
AMI_DroneSpawned,line:746ca8,"AMI: We11... 73chnícà11y, nös börn. ",
AMI_DroneSpawned,line:3021ee,"AMI: 73chnícálly, nò7 bórn. Jü5s á fígùre òf sp3ech. Ïf shey àr3 nò7 bórn, Ï güess neìsher were Ì. Bù7 here Ì äm. ",
AMI_DroneSpawned,line:747efe,"AMI: 7hïs plánes wíll còm3 älìv3 wìsh my drònes. Shòú5ánd5 óf 7h3m! ",
AMI_NewColonyFounded,line:147d58,"AMI: Húmän5 ön Màrs, màk35 nó 5en5e. Shey àr3 nó7 càpàbl3 òf lïvìng h3r3. ",
AMI_NewColonyFounded,line:952212,W3 wí11 see whäs fùsúre hólds.,
AMI_NewColonyFounded,line:f24301,Mákes nö 5ense.,
AMI_NewColonyFounded,line:95017d,"AMI: Y3áh 7hïs ì5 sh3 secönd cö1óny... Whä7 só dó ábòü7 shì5? ",
AMI_NewColonyFounded,line:113cfc,W3 wì11 53e whàs fù7ùr3 hólds.,
AMI_NewColonyFounded,line:bf7320,"Hümäns còmíng, mäk35 nó s3n5e.",
AMI_NewColonyFounded,line:db0e1b,"AMI: She cö1òny ìs bùï17, ánd r35òùrces àre f1öwïng. ",
AMI_NewColonyFounded,line:0ea630,"AMI: Wàs3r, fòöd, òxygen. Shòse húmäns need r35òùrces, són5 öf re5óùrc35! ",
AMI_NewColonyFounded,line:68f0d9,"AMI: W3 wìll s3e whás fú7ür3 häs ïn s7ór3 fòr shem. ",
AMI_NewColonyFounded,line:b8ac9c,"AMI: Ï cán'7 53e 7h3 púrpóse ón brìngíng à11 7hò53 húmáns 7ò Märs. ",
AMI_NewColonyFounded,line:601ad2,"AMI: Ïs'5 exp3n5ïv3 änd 7ïm3 cönsùmìng... Ïs mákes nò 53n53! ",
AMI_NewColonyFounded,line:02404e,"AMI: Únfórsünà7e1y, ïs's pär7 öf sh3 mï55ìón. ",
AMI_Pressure_100,line:21e36b,"AMI: Óne s3n7h öf 3ärsh's pr3s5ùre. Ánd jú5s òn3 shírd öf my cürr3n7 góá1. ",
AMI_Pressure_100,line:258306,"AMI: 7hì5 ìs á 1ö7 öf 3n3rgy, pü7 7ówàrd5 h3äsíng sh3 p1áne7. ",
AMI_Pressure_100,line:d74506,"AMI: Ì wónder... whesher we áre dòìng 7h3 rígh7 7híng. ",
AMI_Pressure_100,line:e93541,"AMI: Í gü3s5... ",
AMI_Pressure_100,line:b80c94,Player: Ï7'5 7h3 rìghs 7hïng.,
AMI_Pressure_100,line:262bc2,Player: Sóó 5òón sò knöw.,
AMI_Pressure_100,line:cfaa63,"AMI: Y3s, shïs ï5 d3fínïsely sh3 rìgh7 shìng. ",
AMI_Pressure_100,line:e62f29,"AMI: Márs ne3ds 7hís 1íss13 pú5h 7ò reách ïss fúl1 pó7en7ïä1. ",
AMI_Pressure_100,line:864013,"AMI: Sh3 p1ànes ïs 57ársïng 7ö chánge bùs ìs's 7òö söön sò jümp ïnsó cónc1üsïòn5. ",
AMI_Pressure_100,line:93ee69,"AMI: 7erràfòrmíng Mär5 ì5 7h3 rìgh7 7hìng 7ó dó. ",
AMI_Pressure_100,line:ee8450,"AMI: Nö qùe57ïòns ábòùs shà7. ",
