Context,ID,Text,Comments
Backend,BE_CargoQuantity[1],{0:0.#},
Backend,BE_building_NOT_activated,<color=red>DEAKTIVIERT!</color>,
Backend,BE_building_NOT_powered,<color=red>KEINE ENERGIE!</color>,
Backend,BE_building_health[1],Gesundheit: {0:P0},
Backend,BE_building_HomeDockedDrone[1],Gedockte Drohne: {0},
Backend,BE_building_AssignedDrone_SINGULAR[1],Zugeteilte Drohne: {0},
Backend,BE_building_AssignedDrone_PLURAL[1],Zugeteilte Drohnen:\n\tDrohnen {0},
Backend,BE_building_WorkState_AwaitingConstructionMaterials,Warte auf Baumaterialien:,
Backend,BE_building_WorkState_MaterialsLine[3],{0} {1}/{2},
Backend,BE_building_WorkState_ConstructionProgress[1],Baufortschritt: {0:P0},
Backend,BE_building_WorkState_AwaitingUpgradeMaterials,Warte auf Aufwertungsmaterialien:,
Backend,BE_building_WorkState_UpgradeProgress[1],Aufwertungsfortschritt: {0:P0},
Backend,BE_building_WorkState_ScrapProgress[1],Abrissfortschritt: {0:P0},
Backend,BE_building_WorkState_AwaitingRubbleClearOut,Warte auf Schuttbeseitigung,
Backend,BE_building_hyperloop_description,Ermöglicht Transport von Fracht und Arbeitern.,
Backend,BE_building_hyperloop_name,Hyperloop-Terminal,
Backend,BE_building_water_mine_description,Gewinnt Eis aus unterirdischen Vorkommen. Für tiefe und sehr tiefe Vorkommen sind jedoch verbesserte Bohrer erforderlich.,
Backend,BE_building_water_mine_name,Eisbohrer,
Backend,BE_building_water_mine_2_name,Fortgeschrittener Eisbohrer,
Backend,BE_building_water_mine_3_name,Hochentwickelter Eisbohrer,
Backend,BE_building_water_treatment_plant_description,"Entzieht Wasser aus Gewässern und verbessert dessen Qualität, sodass es in das Wasserversorgungsnetz eingespeist werden kann.",
Backend,BE_building_water_treatment_plant_name,Wasseraufbereitungsanlage,
Backend,BE_building_aluminum_mine_description,Gewinnt und verarbeitet Aluminiumerz. Für tiefe und sehr tiefe Erzvorkommen sind jedoch verbesserte Aluminiumminen erforderlich.,
Backend,BE_building_aluminum_mine_name,Aluminiummine,
Backend,BE_building_aluminum_mine_2_name,Fortgeschrittene Aluminiummine,
Backend,BE_building_aluminum_mine_3_name,Hochentwickelte Aluminiummine,
Backend,BE_building_carbon_mine_description,Gewinnt Kohlenstoff aus kohlenstoffreichen Mineralvorkommen. Für tiefe und sehr tiefe Vorkommen sind jedoch verbesserte Kohlenstoffminen erforderlich.,
Backend,BE_building_carbon_mine_name,Kohlenstoffmine,
