Context,ID,Text,Comments
Backend,BE_CargoQuantity[1],{0:0.#},
Backend,BE_building_NOT_activated,<color=red>运转中止！</color>,
Backend,BE_building_NOT_powered,<color=red>供电中断！</color>,
Backend,BE_building_health[1],建筑寿命：{0:P0},
Backend,BE_building_HomeDockedDrone[1],停靠工程车：{0}架,
Backend,BE_building_AssignedDrone_SINGULAR[1],分派工程车：{0}架,
Backend,BE_building_AssignedDrone_PLURAL[1],分派工程车：\n\t工程车{0},
Backend,BE_building_WorkState_AwaitingConstructionMaterials,等候施工材料：,
Backend,BE_building_WorkState_MaterialsLine[3],{0} {1}/{2},
Backend,BE_building_WorkState_ConstructionProgress[1],施工进度：{0:P0},
Backend,BE_building_WorkState_AwaitingUpgradeMaterials,等候升级材料：,
Backend,BE_building_WorkState_UpgradeProgress[1],升级进度：{0:P0},
Backend,BE_building_WorkState_ScrapProgress[1],拆除进度：{0:P0},
Backend,BE_building_WorkState_AwaitingRubbleClearOut,建筑废料等待转移,
Backend,BE_building_hyperloop_description,可以运送货物与工程车。,
Backend,BE_building_hyperloop_name,超级回路站点,
Backend,BE_building_water_mine_description,可以开采地下沉积中的固体冰；深层及超深层水冰沉积需要升到进阶钻冰厂方可开采。,
Backend,BE_building_water_mine_name,钻冰厂,
Backend,BE_building_water_mine_2_name,进阶钻冰厂,
Backend,BE_building_water_mine_3_name,高等钻冰厂,
Backend,BE_building_water_treatment_plant_description,抽取水体中的水并改善其质量，以便将水经由供水网络分配至各地。,
Backend,BE_building_water_treatment_plant_name,水处理厂,
Backend,BE_building_aluminum_mine_description,可以开采、加工铝矿；深层及超深层矿体需要进阶铝厂方可开采加工。,
Backend,BE_building_aluminum_mine_name,铝厂,
Backend,BE_building_aluminum_mine_2_name,进阶铝厂,
Backend,BE_building_aluminum_mine_3_name,高等铝厂,
Backend,BE_building_carbon_mine_description,可以开采富碳矿床的碳素；深层及超深层矿床需要进阶碳厂方可开采加工。,
Backend,BE_building_carbon_mine_name,碳厂,
Backend,BE_building_carbon_mine_2_name,进阶碳厂,
Backend,BE_building_carbon_mine_3_name,高等碳厂,
Backend,BE_building_chemicals_mine_description,可以开采矿床里的部分化学物质；深层及超深层矿床需要进阶化工厂方可开采。,
Backend,BE_building_chemicals_mine_name,化工厂,
Backend,BE_building_chemicals_mine_2_name,进阶化工厂,
Backend,BE_building_chemicals_mine_3_name,高等化工厂,
Backend,BE_building_iron_mine_description,可以开采、加工铁矿；深层及超深层矿体需要进阶铁厂方可开采加工。,
Backend,BE_building_iron_mine_name,铁厂,
Backend,BE_building_iron_mine_2_name,进阶铁厂,
Backend,BE_building_iron_mine_3_name,高等铁厂,
Backend,BE_building_silicon_mine_description,可以开采、加工硅矿；深层及超深层矿体需要进阶硅厂方可开采加工。,
Backend,BE_building_silicon_mine_name,硅厂,
Backend,BE_building_silicon_mine_2_name,进阶硅厂,
Backend,BE_building_silicon_mine_3_name,高等硅厂,
Backend,BE_building_uranium_mine_description,可以开采、提炼铀矿。,
Backend,BE_building_uranium_mine_name,铀厂,
Backend,BE_building_uranium_mine_2_name,进阶铀厂,
Backend,BE_building_uranium_mine_3_name,高等铀厂,
Backend,BE_building_drone_factory_description,工程车枢纽空闲的时候，可以组装工程车。,
Backend,BE_building_drone_factory_name,工程车厂,
Backend,BE_building_drone_factory_2_name,进阶工程车厂,
Backend,BE_building_drone_factory_3_name,高等工程车厂,
Backend,BE_building_electronics_factory_description,可以生产电子元件，确保工程车与建筑正常运转。,
Backend,BE_building_electronics_factory_name,电子元件厂,
Backend,BE_building_electronics_factory_2_name,进阶电子元件厂,
Backend,BE_building_electronics_factory_3_name,高等电子元件厂,
Backend,BE_building_food_factory_description,为拓殖区生产人工合成食物。,
Backend,BE_building_food_factory_name,食品厂,
Backend,BE_building_food_factory_2_name,进阶食品厂,
Backend,BE_building_food_factory_3_name,高等食品厂,
Backend,BE_building_glass_factory_description,可以利用硅料生产强化玻璃。,
Backend,BE_building_glass_factory_name,玻璃厂,
Backend,BE_building_glass_factory_2_name,进阶玻璃厂,
Backend,BE_building_glass_factory_3_name,高等玻璃厂,
Backend,BE_building_parts_factory_description,可以组装机械部件，抵御极端环境因素。,
Backend,BE_building_parts_factory_name,零部件厂,
Backend,BE_building_parts_factory_2_name,进阶零部件厂,
Backend,BE_building_parts_factory_3_name,高等零部件厂,
Backend,BE_building_steel_factory_description,可以利用碳料和铁料生产钢材。,
Backend,BE_building_steel_factory_name,钢厂,
Backend,BE_building_steel_factory_2_name,进阶钢厂,
Backend,BE_building_steel_factory_3_name,高等钢厂,
Backend,BE_building_fuel_factory_description,可以利用化学物质生产燃料。,
Backend,BE_building_fuel_factory_name,燃料厂,
Backend,BE_building_fuel_factory_2_name,进阶燃料厂,
Backend,BE_building_fuel_factory_3_name,高等燃料厂,
Backend,BE_building_polymers_factory_description,可以利用化学物质和碳料生产有机聚合物。,
Backend,BE_building_polymers_factory_name,聚合物厂,
Backend,BE_building_polymers_factory_2_name,进阶聚合物厂,
Backend,BE_building_polymers_factory_3_name,高等聚合物厂,
Backend,BE_building_areological_scanner_description,可以勘探周边区域的资源。,
Backend,BE_building_areological_scanner_name,地质勘探站,
Backend,BE_building_colony_basic_description,基础拓殖区，可以容纳100人。需要冰和食物。,
Backend,BE_building_colony_basic_name,拓殖区,
Backend,BE_building_colony_small_description,小型拓殖区，可以容纳250人。需要冰和食物。,
Backend,BE_building_colony_small_name,进阶拓殖区,
Backend,BE_building_colony_medium_description,中型拓殖区，可以容纳500人。需要冰和食物。,
Backend,BE_building_colony_medium_name,高等拓殖区,
Backend,BE_building_colony_dome_small_description,穹形拓殖区，可以容纳1000人。必须建造在宜施工环形山上并接入供水网络。,
Backend,BE_building_colony_dome_small_name,穹形城市,
Backend,BE_building_colony_tent_city_description,大型拓殖区，可以容纳2500人。不需要加压。必须接入供水网络。,
Backend,BE_building_colony_tent_city_name,帐篷城市,
Backend,BE_building_colony_open_city_description,露天拓殖区，可以容纳10000人。必须接入供水网络。,
Backend,BE_building_colony_open_city_name,露天城市,
Backend,BE_building_drone_base_description,可容纳一台工程车，主要负责其周围区域内的建筑。,
Backend,BE_building_drone_base_name,工程车枢纽,
Backend,BE_building_research_lab_description,可容纳50位科研人员的科考站。占用时可给予科研加成。,
Backend,BE_building_research_lab_name,科考站,
Backend,BE_building_space_elevator_description,便于地面与火星同步轨道之间高效运送资源。,
Backend,BE_building_space_elevator_name,太空升降装置,
Backend,BE_building_space_elevator_namePrefix,升降-,
Backend,BE_building_spaceport_description,便于执行特别工程。,
Backend,BE_building_spaceport_name,航天中心,
Backend,BE_building_spaceport_namePrefix,航中-,
Backend,BE_building_terraforming_biodome_description,可以生成地衣和植物，从而将二氧化碳转化为氧气。,
Backend,BE_building_terraforming_biodome_name,生态区,
Backend,BE_building_terraforming_aquadome_description,可以在附近的海洋生成蓝藻，从而将二氧化碳转化为氧气。,
Backend,BE_building_terraforming_aquadome_name,水文馆,
Backend,BE_building_terraforming_ghg_factory_description,可以释放温室气体，提升行星气温。,
Backend,BE_building_terraforming_ghg_factory_name,温室气体厂,
