Context,ID,Text,Comments
AMI_DroneDied,line:6df54e,AMI: Hay una inconsistencia entre el número de unidades robóticas y las estaciones de recarga. Una de las unidades debe estar fallando.,
AMI_DroneDied,line:175087,AMI: ¡Allí está! Es la unidad MRS-04.,
AMI_DroneDied,line:bdc501,AMI: Esto es...,
AMI_DroneDied,line:db7351,Player: Triste.,
AMI_DroneDied,line:46e907,Player: Lógico.,
AMI_DroneDied,line:c97ff1,"AMI: Construir cada una de estas unidades requiere tiempo, recursos y esfuerzo.",
AMI_DroneDied,line:607875,"AMI: Adiós, MRS-04. Tu aporte ha sido crucial para nuestra misión.",
AMI_DroneDied,line:438800,AMI: El clima en Marte es hostil con los componentes electrónicos.,
AMI_DroneDied,line:f62146,AMI: Debo prestar atención al conteo de unidades.,
AMI_DroneSpawned,line:8c8d43,AMI: La fábrica de robots ha producido la primera unidad robótica. Es el primer <i>nacimiento marciano</i>.,
AMI_DroneSpawned,line:79f68b,Player: ¿Nacimiento?,
AMI_DroneSpawned,line:98fe2d,Player: El primero de muchos.,
AMI_DroneSpawned,line:9048dc,"AMI: Técnicamente no ha nacido, por supuesto. Más bien ha sido diseñado y ensamblado. Como yo.",
AMI_DroneSpawned,line:2533ad,AMI: Las unidades robóticas se extenderán por todo el planeta.,
AMI_DroneSpawned,line:d86b54,"AMI: Según la base de datos, las unidades robóticas deben recargarse en sus propias estaciones de recarga.",
AMI_DroneSpawned,line:dec059,"AMI: Además, se verán afectadas por la hostilidad del ambiente.",
AMI_DroneSpawned,line:4345a6,"AMI: Sé que son solo máquinas, pero aún así siento el deseo de protegerlas.",
AMI_DroneSpawned,line:31b394,AMI: No me gusta la idea de que vayan a morir.,
AMI_First_Emigration,line:febecf,AMI: No hay suficiente agua ni comida para sustentar a las colonias.,
AMI_First_Emigration,line:c7b83e,AMI: Necesito mantener mejor estos recursos.,
AMI_First_Emigration,line:341616,AMI: Los colonos han regresado a la Tierra.,
AMI_First_Emigration,line:db1a68,AMI: Debería revisar...,
AMI_First_Emigration,line:a45c1e,Player: Los niveles de comida y agua.,
AMI_First_Emigration,line:2038e4,Player: La base de datos de la misión.,
AMI_First_Emigration,line:895255,AMI: Los niveles de comida y agua.,
AMI_First_Emigration,line:97cae6,"AMI: Si los niveles son demasiado bajos, las colonias no pueden funcionar.",
AMI_First_Emigration,line:aa5f35,AMI: La base de datos de la misión.,
AMI_First_Emigration,line:d4af66,AMI: La cual dice que los colonos regresarán a la Tierra si el entorno no es seguro.,
AMI_First_Emigration,line:6b9806,AMI: Eso significa que debo producir suficiente comida y agua para todos los colonos.,
AMI_First_Emigration,line:5dd2e4,AMI: Debo estar alerta.,
AMI_Pressure_100,line:21e36b,AMI: Marte ha alcanzado los 100 milibares.,
AMI_Pressure_100,line:258306,AMI: Eso es un tercio del objetivo final.,
AMI_Pressure_100,line:d74506,AMI: Me pregunto...,
AMI_Pressure_100,line:e93541,AMI: ¿Estaremos haciendo lo correcto?,
AMI_Pressure_100,line:b80c94,Player: Sí.,
AMI_Pressure_100,line:262bc2,Player: Es demasiado pronto para saber.,
AMI_Pressure_100,line:cfaa63,"AMI: Sí, esto es lo correcto.",
AMI_Pressure_100,line:e62f29,AMI: Estamos logrando que Marte alcance su máximo potencial.,
AMI_Pressure_100,line:864013,"AMI: El planeta está cambiando, pero es demasiado pronto para saber si es lo correcto.",
AMI_Pressure_100,line:93ee69,AMI: De todas maneras―el proceso está en marcha.,
AMI_Pressure_100,line:ee8450,AMI: Y estamos creando el futuro.,
AMI_Pressure_200,line:d36ed8,AMI: 200 milibares. Eso es una quinta parte de la presión atmosférica que posee la Tierra.,
AMI_Pressure_200,line:040c41,AMI: Solo falta un poco más.,
AMI_Pressure_200,line:8d3903,"AMI: Una vez que alcancemos ese umbral, los humanos ya no necesitarán los trajes espaciales.",
AMI_Pressure_200,line:d325e3,AMI: Tampoco será necesario presurizar las bases. Lo que permitirá construir colonias más grandes.,
AMI_Pressure_200,line:259311,AMI: Marte está a punto de alcanzar una nueva fase. ¿Recordarán los humanos lo que estoy haciendo por ellos?,
AMI_Pressure_200,line:91681f,Player: Lo recordarán para siempre.,
AMI_Pressure_200,line:99092a,Player: Me olvidarán con el tiempo.,
AMI_Pressure_200,line:b6d1e8,AMI: Recordarán mi trabajo para siempre. La vida interplanetaria será posible gracias a mí.,
