Context,ID,Text,Comments
Backend,BE_CargoQuantity[1],{0:0.#},
Backend,BE_building_NOT_activated,<color=red>DÉSACTIVÉ !</color>,
Backend,BE_building_NOT_powered,<color=red>À COURS D'ÉNERGIE !</color>,
Backend,BE_building_health[1],Santé : {0:P0},
Backend,BE_building_HomeDockedDrone[1],Drone amarré : {0},
Backend,BE_building_AssignedDrone_SINGULAR[1],Drone assigné : {0},
Backend,BE_building_AssignedDrone_PLURAL[1],Drones assignés :\n\tDrones {0},
Backend,BE_building_WorkState_AwaitingConstructionMaterials,En attente de matériaux de construction :,
Backend,BE_building_WorkState_MaterialsLine[3],{0} {1}/{2},
Backend,BE_building_WorkState_ConstructionProgress[1],Progression de la construction : {0:P0},
Backend,BE_building_WorkState_AwaitingUpgradeMaterials,En attente de matériaux d'amélioration :,
Backend,BE_building_WorkState_UpgradeProgress[1],Progression de l'amélioration : {0:P0},
Backend,BE_building_WorkState_ScrapProgress[1],Progression de la destruction : {0:P0},
Backend,BE_building_WorkState_AwaitingRubbleClearOut,En attente de l'enlèvement des gravats,
Backend,BE_building_hyperloop_description,Permet le transport des cargaisons et des ouvriers.,
Backend,BE_building_hyperloop_name,Terminal d'hyperloop,
Backend,BE_building_water_mine_description,Permet d'extraire de la glace des dépôts souterrains. Des stations de forage de la glace plus avancées sont nécessaires pour aller chercher de la glace dans les profondeurs.,
Backend,BE_building_water_mine_name,Station de forage de la glace,
Backend,BE_building_water_mine_2_name,Station de forage de la glace avancée,
Backend,BE_building_water_mine_3_name,Station de forage de la glace supérieure,
Backend,BE_building_water_treatment_plant_description,Extrait de l'eau des étendues d'eau et améliore sa qualité afin de pouvoir la distribuer grâce au réseau d'alimentation en eau.,
Backend,BE_building_water_treatment_plant_name,Station d'épuration,
Backend,BE_building_aluminum_mine_description,Extrait et raffine le minerai d'aluminium. Des mines plus avancées sont nécessaires pour aller chercher le minerai dans les profondeurs.,
Backend,BE_building_aluminum_mine_name,Mine d'aluminium,
Backend,BE_building_aluminum_mine_2_name,Mine d'aluminium avancée,
Backend,BE_building_aluminum_mine_3_name,Mine d'aluminium supérieure,
Backend,BE_building_carbon_mine_description,Permet d'extraire du carbone des dépôts souterrains. Des mines plus avancées sont nécessaires pour aller chercher du carbone dans les profondeurs.,
Backend,BE_building_carbon_mine_name,Mine de carbone,
Backend,BE_building_carbon_mine_2_name,Mine de carbone avancée,
Backend,BE_building_carbon_mine_3_name,Mine de carbone supérieure,
Backend,BE_building_chemicals_mine_description,Permet d'extraire des substances chimiques des dépôts souterrains. Des usines plus avancées sont nécessaires pour aller chercher des substances chimiques dans les profondeurs.,
Backend,BE_building_chemicals_mine_name,Usine chimique,
Backend,BE_building_chemicals_mine_2_name,Usine chimique avancée,
Backend,BE_building_chemicals_mine_3_name,Usine chimique supérieure,
Backend,BE_building_iron_mine_description,Extrait et raffine le minerai de fer. Des mines plus avancées sont nécessaires pour aller chercher le minerai dans les profondeurs.,
Backend,BE_building_iron_mine_name,Mine de fer,
Backend,BE_building_iron_mine_2_name,Mine de fer avancée,
Backend,BE_building_iron_mine_3_name,Mine de fer supérieure,
Backend,BE_building_silicon_mine_description,Extrait et raffine le minerai de silicium. Des mines plus avancées sont nécessaires pour aller chercher le minerai dans les profondeurs.,
Backend,BE_building_silicon_mine_name,Mine de silicium,
Backend,BE_building_silicon_mine_2_name,Mine de silicium avancée,
Backend,BE_building_silicon_mine_3_name,Mine de silicium supérieure,
Backend,BE_building_uranium_mine_description,Extrait et raffine le minerai d'uranium.,
Backend,BE_building_uranium_mine_name,Mine d'uranium,
Backend,BE_building_uranium_mine_2_name,Mine d'uranium avancée,
Backend,BE_building_uranium_mine_3_name,Mine d'uranium supérieure,
Backend,BE_building_drone_factory_description,Permet de construire de nouveaux ouvriers (quand les stations d'ouvriers sont vides).,
Backend,BE_building_drone_factory_name,Usine d'ouvriers,
Backend,BE_building_drone_factory_2_name,Usine d'ouvriers avancée,
Backend,BE_building_drone_factory_3_name,Usine d'ouvriers supérieure,
Backend,BE_building_electronics_factory_description,Produit les composants électroniques permettant de garder ouvriers et bâtiments en état de marche.,
Backend,BE_building_electronics_factory_name,Usine d'électronique,
Backend,BE_building_electronics_factory_2_name,Usine d'électronique avancée,
Backend,BE_building_electronics_factory_3_name,Usine d'électronique supérieure,
Backend,BE_building_food_factory_description,Produit de la nourriture synthétique pour les colonies.,
Backend,BE_building_food_factory_name,Usine de nourriture,
Backend,BE_building_food_factory_2_name,Usine de nourriture avancée,
Backend,BE_building_food_factory_3_name,Usine de nourriture supérieure,
Backend,BE_building_glass_factory_description,Permet de fabriquer du verre renforcé à partir de silicium.,
Backend,BE_building_glass_factory_name,Usine de verre,
Backend,BE_building_glass_factory_2_name,Usine de fabrication de verre avancée,
Backend,BE_building_glass_factory_3_name,Usine de fabrication de verre supérieure,
